TORPOINT TRETHILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX377544,Long,-4.283458,Lat,50.367062,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.25,3.08,0.88,5.82,5.39,2.73,1.86,4.53,4.68,2.34,6.17,1.63,1.78,2.21,4.96,1.18,3.92,7.04,,,,,4,6.1,7,3.5,5.05,2.4,5.34,4.36,4.96,5.17,7.04,2.9,5.8,3.59,4.08,2.17,3.62,0.92,6.71,5.08,5.75,5.48,2.85,4.72,4.85,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.71,4.32,1.7,4.95,5.11,1.13,1.31,1.84,6.08,1.1,5.25,2.23,2.98,0.53,5.18,2.3,3.52,1.14,,,,,2.4,5.4,0.7,0.4,3.1,6.09,1.43,4.92,3.06,2.75,3.51,2.02,2.56,3.29,0.02,3.48,0.14,3.14,4.03,7.51,1.12,1.73,4.14,5.5,0.32,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.11,5.35,1.58,0.87,2.16,2.44,2.32,4.69,1.98,4.66,1.53,1.05,4,5.15,0.77,2.78,5.39,3.46,,,,,1.7,4.86,2.7,2.8,3.45,2.6,1.78,0.53,0.91,3.68,4.81,0.63,2.72,1.63,1.96,3.33,3.28,0.95,3.5,4.74,0.34,1.22,3.62,3.12,3.13,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.34,4.74,1.83,3.45,2.1,3.75,1.85,1.94,1.36,2.48,0.81,5.5,3.19,2.02,2.23,1.84,0.3,3.9,,,,,1.55,2.64,4.95,0.4,2.4,2.65,3.53,2.75,2.27,2.25,1.42,0.7,2.54,2.41,3.03,2.57,2.75,5.22,1.8,3.4,0.04,1.9,2.68,1.23,1.25,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0,1.7,4.93,2,1.37,1.16,1.88,2.11,3.26,0.79,3.25,3.24,1.88,1.01,2.15,1.24,2.1,3.05,,,,,1,1.3,1.5,1.75,1.48,2.1,4.36,4.76,1.44,0.49,1.24,3.76,3.3,3.27,3.96,1.38,1.02,1.67,0.52,2.99,2.64,0.93,1.56,2.4,5.62,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.97,2.22,2.8,1.4,3.12,1.51,2.8,2.76,1.01,2.87,1.55,2.54,0.42,3.65,1.68,2.86,5.27,0.82,,,,,1.15,0.7,2.75,0.05,1.05,0.25,2.5,0,3.05,3.2,2.18,3.2,1,3.78,2.54,2.43,1.67,3.7,2.17,0.97,0.93,3.04,0.67,3.26,0.42,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.78,0.75,0.3,1.34,0.7,1.51,4.29,3.44,5.38,0.63,1.73,1.51,1.88,2.92,4.25,1.4,2.92,0.4,,,,,3,0.9,3.25,0.9,3.22,0.88,5.55,3.32,0.7,3.25,1.87,1.79,1.8,5.45,3.04,2.91,0.98,0.5,6.62,1.85,3.04,4.62,2.54,0.85,1.53,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.12,5.21,3.13,1.3,2.02,1.64,2.24,3.84,3.59,4.18,2.22,1.98,4.4,1.53,4.48,2.22,8.52,0.7,,,,,2.05,2.75,0.95,2.25,4.08,2.23,3.21,3.93,1.82,3.22,2.06,3.14,4.07,3.65,1.46,2.46,3.43,3,0.52,0.73,5.44,3.34,0.09,5.4,2.48,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.03,3.56,1.12,2.89,1.39,3.31,2.76,3.75,2.52,1.09,0.98,2,2.9,1.13,0.49,2.64,1.4,2.11,,,,,6.73,1.3,1.57,1.1,2.63,2.53,4.05,3.9,0.26,6.37,1.9,0.26,5.22,1.96,4.31,1.65,3.31,3.66,2.26,2.66,1.7,0.63,2,0.58,2.69,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.24,1.44,6.31,2.9,2.34,2.58,2.53,7.95,2.36,1.63,4.57,5.23,1.97,5.73,5.63,3.3,4.14,4.7,,,,,2.57,1.38,3.13,0.95,1.58,5.33,7.25,3.57,2.77,2.82,5.59,6.14,4.22,1,7.22,3.31,2.67,5.07,1.31,3.08,3.81,4.28,2.56,1.65,2.73,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
