"FRISTON WATER TOWER",,,,,,,,,,,,
Grid ref,TV553984,Long,0.200754,Lat,50.764412,,,,,,,
Station no,530/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.44,3.07,1.22,1.69,4.95,6.35,1.99,4.44,4.19,3.15,,
February,6.65,1.34,1.59,3.07,2.10,0.50,4.47,3.39,0.03,2.47,,
March,4.38,3.56,0.30,4.06,1.08,0.49,1.65,2.13,1.74,3.70,,
April,1.85,1.62,2.19,0.68,0.51,1.59,0.29,1.26,2.30,1.29,,
May,2.56,1.46,1.58,1.92,4.37,0.45,0.93,2.97,0.45,2.67,,
June,1.27,0.75,1.59,2.36,2.15,2.51,0.52,3.90,1.14,-999.00,,
July,1.86,1.08,3.38,5.34,1.09,2.79,5.56,2.24,1.61,2.50,,
August,6.52,3.40,2.20,4.14,2.06,5.08,2.09,4.99,1.23,6.48,,
September,4.68,3.57,3.12,4.10,2.70,3.88,4.54,4.10,0.26,3.29,,
October,3.89,3.92,3.32,3.32,4.98,1.21,1.87,4.16,4.57,7.88,,
November,5.23,5.47,2.19,5.91,1.41,1.36,3.09,2.61,5.31,8.14,,
December,3.09,4.27,1.00,2.57,5.00,4.69,2.00,4.32,7.66,5.70,,
Total,46.42,33.51,23.68,39.16,32.40,30.90,29.00,40.51,30.49,49.37,,
Calc annual,46.42,33.51,23.68,39.16,32.40,30.90,29.00,40.51,30.49,47.27,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,2.10,,
