FRISTON-WATER-TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TV553984,Long,0.200754,Lat,50.764412,Elevation,389,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,530/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.97,4.62,5.43,4.63,5.55,3.03,4.36,3.51,5.57,2.19,2.29,2.97,2.48,5.81,1.31,1.26,4.44,3.07,1.22,1.69,4.95,6.35,1.99,4.44,4.19,3.15
February,,,,,4.5,2.39,5.45,1.46,1.51,2.69,3.22,0.55,1.44,1.28,2.04,3.31,2.71,1.72,1.24,4.25,6.65,1.34,1.59,3.07,2.1,0.5,4.47,3.39,0.03,2.47
March,,,,2.81,0.71,1.7,4.52,0.74,1.63,3.36,2.37,3.61,0.4,0.1,0.95,1.73,7.52,0.87,1.41,1.3,4.38,3.56,0.3,4.06,1.08,0.49,1.65,2.13,1.74,3.7
April,,,,2.29,3.81,2.03,3,0.71,2.28,1.33,1.11,0.95,1.61,1.19,1.11,2.15,2.09,1.25,1.3,2.02,1.85,1.62,2.19,0.68,0.51,1.59,0.29,1.26,2.3,1.29
May,,,,0.55,1.27,0.28,2.83,3.05,1.21,1.61,1.99,2.63,1.89,0.31,2.06,3.38,2.22,2.3,1.58,1.13,2.56,1.46,1.58,1.92,4.37,0.45,0.93,2.97,0.45,2.67
June,,,,1.54,2.23,3.02,1.5,0.7,1.65,0.3,2.37,0.32,2.01,1.39,1.43,2.66,2.56,1.72,0.7,0.69,1.27,0.75,1.59,2.36,2.15,2.51,0.52,3.9,1.14,2.1
July,,,,1.25,0.21,5.13,1.74,1.81,2.24,2.91,2.33,2.17,1.9,2.05,4.05,2.59,3.48,1.85,0.79,2.39,1.86,1.08,3.38,5.34,1.09,2.79,5.56,2.24,1.61,2.5
August,,,,2.97,5.01,0.89,1.87,1.42,2.28,0.08,4.78,2.47,1.23,2.93,1.65,7.79,0.13,3.76,1.43,2.95,6.52,3.4,2.2,4.14,2.06,5.08,2.09,4.99,1.23,6.48
September,,,,1.53,5.63,2.57,3.16,3.2,0.77,2.14,0.42,2.25,2.14,2.64,2.83,3.22,1.5,3.05,2.38,3.45,4.68,3.57,3.12,4.1,2.7,3.88,4.54,4.1,0.26,3.29
October,,,,2.46,5.18,1.33,3.34,3.8,8.39,3.65,1.6,4.12,2.65,5.19,2.73,1.12,0.94,2.3,8.45,1.3,3.89,3.92,3.32,3.32,4.98,1.21,1.87,4.16,4.57,7.88
November,,,,4.05,7.08,4.68,1.71,4.19,6.65,7.82,4.76,1.56,2.05,5.75,0.88,4.11,2.36,3.31,4.56,6.44,5.23,5.47,2.19,5.91,1.41,1.36,3.09,2.61,5.31,8.14
December,,,,8.59,3.82,2.71,5.95,3.25,1.87,3.08,1.68,3.14,2.55,2.14,3.79,3.67,3.02,2.83,2.73,3.04,3.09,4.27,1,2.57,5,4.69,2,4.32,7.66,5.7
Total,,,,,40.42,31.35,40.5,28.96,36.03,32,30.99,27.28,25.44,27.16,25.81,38.7,31.01,30.77,27.88,30.22,46.42,33.51,23.68,39.16,32.4,30.9,29,40.51,30.49,49.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Jun IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
