DUNDONALD COODHAM,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS397327,Long,-4.5433214,Lat,55.561546,Elevation,270,ft,,,,,,,,,,,,,
Station no,5227/3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,8.47,1.79,5.78,5.15,6.48,,,,,,,,
February,,,,,,,,,3.12,2.02,0.23,4.08,0.11,,,,,,,,
March,,,,,,,,,1.86,1.26,2.63,0.76,2.53,,,,,,,,
April,,,,,,,,,1.07,1.22,2.18,2.47,3.58,,,,,,,,
May,,,,,,,,,2.34,2.82,1.83,2.46,3.02,,,,,,,,
June,,,,,,,,,3.72,3.2,3.54,5.18,1.38,,,,,,,,
July,,,,,,,,,2.25,5.55,3.47,4.12,3.85,,,,,,,,
August,,,,,,,,,5.03,7.45,6.67,1.97,1.94,,,,,,,,
September,,,,,,,,,3.99,2.05,3.96,1.05,5.27,,,,,,,,
October,,,,,,,,,6.57,6.13,6.12,3.02,6.05,,,,,,,,
November,,,,,,,,,5.44,6.7,5.26,6.83,4.19,,,,,,,,
December,,,,,,,,,3.56,9.55,3.83,3.97,7.92,,,,,,,,
Total,,,,,,,,,47.42,49.74,45.5,41.06,46.32,,,,,,,,
