GLASGOW BELVEDERE HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS624636,Long,-4.199237,Lat,55.845921,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.51,3.62,5.28,5.2,2.17,3.91,2.12,2.7,1.82,6.13,2.93,2.42,1.32,4.83,1.33,1.96,1.53,2.58,5.93,4.99,2.43,3.1,6.8,3.77,1.92,4.64,2.55,3.94,3.79,3.64,1.93,2.3,3.52,2.87,1.72,4.28,,,
February,2.3,2.48,3,5.09,6.16,3.66,1.51,3,0.73,1.99,0.71,0.62,2.53,2.95,9.49,0.44,2.28,2.89,3.23,2.03,2.87,1.37,0.79,7.16,1.78,2.3,3.01,2.62,2.97,1.87,3.29,5.26,2.35,2.64,3.48,4.11,4.34,,,
March,2.28,1.92,3.67,1.12,1.84,1.22,2.58,1.91,2.85,1.21,2.13,2.97,0.8,1.4,2.89,1.98,4.43,5.28,1.43,3.27,0.58,1.58,1.99,7.1,1.49,3.06,3.2,4.15,3.76,2.35,1.74,1.12,3.62,4.29,4.11,1.09,2.18,,,
April,2.28,1.29,1.89,1.74,0.69,1.37,1.39,2.65,1.35,1.68,1.57,0.87,0.9,1.31,1.85,1.42,2.23,2.78,1.83,3.52,1.83,2.85,0.51,1.64,3.63,1.9,1.18,2.05,1.28,2.98,3.92,2.17,1.17,3.19,1.87,2.15,2.93,,,
May,0.81,2.78,2.24,1.56,2.62,3.11,2.74,1.46,2.12,3.76,2.95,1.68,3.24,2.9,2.61,0.51,0.91,4.84,2.44,4.25,2.12,2.17,1.86,2.29,3.54,1.63,4.75,4.41,2.32,2.2,1.6,2.01,1.16,3.27,1.87,1.42,4.61,,,
June,1.16,2.69,3.11,2.6,0.79,0.7,1.17,0.61,1.79,0.74,3.29,1.03,3.66,1.89,2.85,2.13,4.82,9.46,1.84,2.13,4.53,3.75,1.96,1.93,1.45,0.45,1.35,4.13,2.16,2.76,2.95,1.02,4.59,3.12,0.35,1.99,2.54,,,
July,3.75,4.68,4.26,3.12,5.44,1.51,2.17,2.73,4.77,2.21,4.05,1.34,1.8,2.76,2.95,3.45,3.87,2.95,1.43,3.36,3.69,1.6,2.72,3.19,2.27,2.54,1.97,2.75,2.35,3.44,3.28,2.11,2.16,1.13,2.27,2.92,3.09,,,
August,0.03,4.5,1.93,3.81,2.52,2.46,1.65,3.82,1.75,4.55,3.36,4.35,8.17,3.38,4.7,6,1.69,5.24,4.72,1.32,3.71,3.81,2.13,5.88,3.11,3.14,4.63,5.46,2.74,3,5.6,2.4,4.15,0.6,2.73,1.8,3.64,,,
September,2.75,2.24,2.83,2.89,3.5,4.58,4.98,3.64,1.32,1.46,3.98,4.35,3.35,2.81,0.2,1.11,4.7,2.81,4.21,3.99,2.97,2.84,3.07,3.43,2.68,1.86,1.67,1.27,3.48,1.91,1.21,1.63,2.91,2.15,1.22,1.17,0.69,,,
October,0.94,2.25,3.79,4.03,3.33,2.72,2.97,1.84,1.83,3,2.8,3.38,3.75,5.06,3.28,4.27,3.68,1.92,3.51,2.53,4.84,4.31,2.19,7.47,1.26,2.27,5.7,6.87,1.2,4.4,1.74,2.83,3.28,1.27,1.11,2.37,5.77,,,
November,4.14,4.68,5.17,5.15,4.34,2.16,3.36,2.42,5.14,1.76,5.3,3.32,3.44,3,2.85,4.64,1.06,2.85,5.81,5.06,5.68,2.93,2.4,2.23,2.4,3.13,4.5,1.92,2.6,2.01,3.03,4.28,3.58,4.46,4.02,1.4,,,,
December,5.59,3.42,3.45,2.96,5.38,1.45,3.31,2.74,3.17,2.64,1.46,6.48,2.02,4.38,3.21,4.77,4.72,5.52,5.52,3.07,7.07,4.15,5.19,2.64,3.61,2.88,4,5.13,2.84,4.12,3.03,4.53,6.04,2.89,4.86,4.95,,,,
Total,,33.44,38.96,39.35,41.81,27.11,31.74,28.94,29.52,26.82,37.73,33.32,36.08,33.16,41.71,32.05,36.35,48.07,38.55,40.46,44.88,33.79,27.91,51.76,30.99,27.08,40.6,43.31,31.64,34.83,35.03,31.29,37.31,32.53,30.76,27.09,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deleted duplicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_26_pt1-page-046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 Jan+T deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Sept +T deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Feb +T deleted estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896 Doubtful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
