"NEATH (OIL REFINERIES)",,,,,,,,,,,,
Grid ref,SS718927,Long,-3.853144,Lat,51.618480,,,,,,,
Station no,4042/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.03,6.39,2.18,3.56,3.11,6.52,5.25,4.59,5.91,5.53,,
February,4.87,0.83,3.19,5.82,2.78,0.39,5.94,5.92,0.57,4.84,,
March,5.77,4.58,3.63,4.15,3.36,1.55,6.55,1.03,5.14,1.88,,
April,4.25,4.10,3.68,1.33,4.27,1.43,0.41,1.15,4.75,3.64,,
May,2.85,4.45,4.34,3.26,4.85,1.70,2.40,4.29,1.03,1.33,,
June,1.45,3.13,2.31,5.60,7.06,2.75,1.93,4.45,4.59,2.06,,
July,1.08,2.34,7.22,5.96,1.83,4.25,5.29,5.70,3.62,7.09,,
August,10.19,6.81,6.12,5.64,1.16,6.70,5.13,4.64,1.35,6.45,,
September,5.66,2.49,6.48,6.17,3.71,6.30,9.35,10.17,0.45,6.23,,
October,1.03,4.11,4.55,9.78,3.03,1.31,5.53,5.47,7.46,6.38,,
November,8.40,3.94,5.55,10.35,4.27,1.64,2.78,4.05,8.73,11.84,,
December,4.69,4.74,1.98,5.88,-999.00,5.73,3.53,5.08,10.78,6.56,,
Total,57.27,47.91,51.23,67.50,46.98,40.27,54.09,56.54,54.38,63.83,,
Calc annual,57.27,47.91,51.23,67.50,39.43,40.27,54.09,56.54,54.38,63.83,,
Difference,0.00,-0.00,0.00,0.00,7.55,0.00,0.00,0.00,-0.00,0.00,,
