STOCKBRIDGE-LECKFORD-ESTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU392362,Long,-1.44097,Lat,51.12418,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,659/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.47,0.57,5.16,6.26,3.37,5.26,2.34,3.02,3.28,6.42,2.59,1.69,2.84,2.85,6.52,1.1,0.55,3.55,2.38,0.48,1.48,3.01,4.95,2.56,2.64,2.28,4.42
February,,,,0.06,3.64,2.88,5.19,0.65,1.44,2.99,2.87,0.69,1.52,0.5,2.18,2.08,1.07,1.52,1.62,5.36,6.8,0.57,1.36,2.58,1.42,0.15,3.09,1.91,0.14,2.58
March,,,3.27,3.6,0.67,2.09,3.56,0.26,1.17,2.92,3.39,2.04,0.6,0.26,0.88,1.01,6.34,1.32,1.28,1.45,3.82,2.83,0.51,2.99,0.98,1.29,1.76,0.8,2.7,1.86
April,,,1.06,1.82,3.84,2.04,2.18,0.03,2.28,1.33,2.48,1.63,1.07,1.76,0.9,2.96,2.63,1.9,1.96,2.34,2.9,2.46,2.69,0.33,0.5,1.38,0.11,0.58,3.41,1.24
May,,,1.55,0.83,1.14,0.62,3.01,1.56,1.05,0.2,1.94,4.44,3.44,0.31,2.38,3.4,1.16,3.16,2.24,2.02,3.15,3.2,2.01,1.68,4.25,0.51,1.78,2.32,0.5,1.57
June,,,3.42,1.56,4.42,2.3,1.51,0.73,1.94,0.46,1.74,0.23,1.03,2.34,3.27,3.39,1.63,2.63,0.58,0.94,0.6,1.49,1.54,3.53,2.77,1.97,1.88,3.51,0.88,3.01
July,,,2.39,1.51,0.86,3.78,1.1,2.33,5.55,3.4,2.4,1.59,2.53,3.5,1.61,1.5,1.15,0.96,1.14,4.62,1.67,0.43,3.09,3.36,0.63,4.84,4.36,1.69,1.99,4.61
August,,,0.45,2.97,2.25,0.24,1.45,1.94,3.12,0.24,4.62,3.49,1.76,1.84,2.4,4.06,0.76,4.17,1.53,5.38,4.88,4.05,1.24,3.75,0.57,4.68,3.3,4.42,2.09,3.41
September,,,3.13,1.89,4.19,3.92,2.79,1.39,1.34,2.01,0.32,2.08,2.01,2.02,2.56,6.58,1.14,3.09,2.32,3.92,4.38,2.65,2.26,2.77,1.5,3.76,2.78,3.68,0.04,5.45
October,,,2.21,1.55,5.21,1.73,4.77,3.43,5.33,3.86,1.64,4.71,4.46,4.49,4.08,1.48,0.89,2.19,8.5,0.97,0.66,4.48,4.63,2.68,3.38,2.58,2.2,3.36,3.43,11.5
November,,,0.76,1.82,7.2,3.11,1.47,4.73,6.35,8.03,3.32,1.61,1.46,5.31,0.34,6.43,1.39,1.82,3.93,6.24,9.02,2.94,1.53,6.88,2.82,0.74,2.7,2.1,4.38,4.65
December,,,0.49,10.18,4.04,3.83,3.36,4.65,1.74,1.86,2.2,4.65,2.07,2.72,4.5,2.82,3.68,4.15,1.69,2.5,2.88,2.63,0.66,3.06,4.41,4.78,2.97,3.12,7.92,4.59
Total,,,,30.26,38.03,31.7,36.65,25.07,36.57,29.64,29.94,30.44,28.37,27.64,26.79,38.55,24.69,33.43,27.89,36.29,44.31,30.11,22,35.09,26.24,31.63,29.49,30.13,29.76,48.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leckford Estate huge NGR taken from MIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec Estimated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 July 28 Inspection Gauge on side of small hill Gauge loose in ground and not upright Worn but serviceable Measure chipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Oct 15 New measure ordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 June 29 Inspection Gauge sound Gauge may be o/e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Oct 2 Inspection O/e No obstructions Spout of funnel requires soldering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Gauge repaired ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 June 14 Present site o/e New site proposed alongside track leading NE from New Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Leckford SRC_ID 852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
