"HAWKSHEAD, GRIZEDALE HALL",,,,,,,,,,,,,,,,,,,,
Grid ref,SD336942,Long,-3.0227813,Lat,54.339014,Elevation,325,ft,,,,,,,,,,,,
Station no,RR6774,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,7.8,5.79,3.66,5.62,9.13,4.5,7.04,,,,,,,
February,,,,,,,2.27,3.15,1.66,4.48,1.13,0.76,2.63,,,,,,,
March,,,,,,,7.11,3.06,4.79,5.81,5.82,3.04,2.29,,,,,,,
April,,,,,,,4.31,2.96,2.75,3.37,2.55,3.62,2.13,,,,,,,
May,,,,,,,6.73,2.52,2.77,4.71,3.89,2.6,6.11,,,,,,,
June,,,,,,,3.13,0.57,2.1,1.21,5.44,2.25,3.34,,,,,,,
July,,,,,,,8.12,2.63,8.62,4.01,5.8,3.27,3.8,,,,,,,
August,,,,,,,4.36,2.05,5.77,7.15,6.27,12.77,10.7,,,,,,,
September,,,,,,,10.47,6.22,2.94,3.81,6.71,8.08,10.2,,,,,,,
October,,,,,,,8.74,4.08,6.76,6.86,4.83,6.99,7.06,,,,,,,
November,,,,,,,7.76,4.79,9.39,4.12,11.72,7.56,6.4,,,,,,,
December,,,,,,,10.2,5.65,7.79,6.87,0.63,12.1,4.69,,,,,,,
Total,,,,,,,81,43.47,59,58.02,63.92,67.54,66.39,,,,,,,
