PARKSTONE-ST-OSMUNDS-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ046907,Long,-1.93552,Lat,50.71647,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.5,5.42,5.3,2.28,5.93,1.75,4.32,2.33,2.41,2.83,2.64,0.94,5.67,6.48,3.88,6.61,3.89,4.74,2.98,7.7,2.32,,,,,,
February,,,,,0.6,5.07,2.26,3.35,2.84,1.4,0.79,1.93,0.13,4.4,0.06,3.09,3.26,6.52,0.82,1.79,4.68,4.1,0.32,1.11,0.41,,,,,,
March,,,,,1.66,0.88,0.61,3.57,3.53,0.2,1,1.45,1.88,3.69,3.16,1.08,3.48,3.92,0.32,1.33,3.29,3.8,3.33,1.03,0.32,,,,,,
April,,,,,3.05,2.95,4.45,2.27,1.94,1.11,2.48,2.49,2.91,1.44,1.73,3.75,1.67,2.55,0,2.09,1.27,2.19,1.8,0.77,1.85,,,,,,
May,,,,,4.54,,2.24,0.93,1.19,1.96,2.1,3.6,3.44,1.72,1.2,0.95,0.73,3.42,1.57,1.03,1.13,2.19,4.02,2.78,0.38,,,,,,
June,,,,,2.1,0,3.07,2.35,2.44,1.64,0.4,3.03,2.57,1.52,1.2,3.74,2.49,0.43,0.75,2,0.2,1.95,0.47,0.94,1.97,,,,,,
July,,,,,3.27,3.6,1.35,2.59,1.61,1.44,1.8,4.34,3.65,1.68,0.17,0.39,3.85,2.43,2.25,4.3,3.94,2.34,1.88,2.29,2.86,,,,,,
August,,,,,2.32,4.11,1.06,3.57,2.57,1.17,3.59,3.38,0.83,1.23,3.7,3.04,0.18,2.43,1.89,3.91,0,4.09,3.62,2,2.94,,,,,,
September,,,,,4.09,4.02,0.73,6.65,2.22,0.41,3.23,1.7,3.53,2.92,1.96,3.99,3.29,2.68,1.34,3.15,1.71,1.03,3.12,2.1,2.6,,,,,,
October,,,,,5.39,4.37,4.52,2.94,7.77,4.49,2.3,0.68,6.28,1.77,1.47,6.13,1.56,6.45,3.75,5.98,5.12,0.95,4.05,4.78,5.79,,,,,,
November,,,,,4.38,3.6,9.91,3.38,3.14,9.11,5.83,4.64,2.24,1.2,2.47,8.39,3.8,1.76,5.39,6.26,8.64,2.15,1.58,1.9,7.81,,,,,,
December,,,,,6.02,4.46,0.65,4,3.63,7.13,4.15,0.98,1.33,1.21,9.41,5.16,3.83,4.6,4.36,2.05,3.17,2.61,4.43,3.29,2.9,,,,,,
Total,,,,,40.92,,36.15,37.88,38.81,31.81,31.99,30.55,31.2,25.61,29.17,40.65,33.81,43.67,26.32,40.5,37.04,32.14,31.6,30.69,32.15,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxthorpe St Osmunds Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 May Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
