BARNSTAPLE-BRATTON-FLEMMING-(THE-RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref,SS647375,Long,-3.93457,Lat,51.12126,Elevation,700,ft,,,,,,,,,,,,
Station no,RR6394,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6.63,7.32,6.53,,,3.72,4.32,7.13,6.06,5.93,,3.19,6.75,,
February,,,,,,5.98,6.59,5.38,,,3.05,3.56,6.03,2.43,3.5,,5.44,4.24,,
March,,,,,,3.67,3.98,3.29,,,2.31,2,4.65,4.2,2.93,,5.66,4.33,,
April,,,,,,1.51,2.3,5.65,,3.02,0.65,5.03,3.63,1.58,2.37,,3.99,4.13,,
May,,,,,,4.03,2.23,3.25,,5.94,1.77,0.71,2.91,3.52,1.19,,1.06,3.84,,
June,,,,,,2.44,5.68,1.2,,0.87,1.23,3,5.7,2.84,1.4,,2.08,2.39,,
July,,,,,,3.99,3.53,5.61,,1.65,2.49,7.91,7.41,6.03,3.49,,2.49,6.49,,
August,,,,,,7.06,5.17,3.2,,2.39,2.6,2.49,3.19,9.4,7.12,,4.51,6.65,,
September,,,,,,0.86,9.91,4.64,,8.68,3.2,5.17,6.63,4.43,7.46,,7.96,5.74,,
October,,,,,,6.31,2.87,9.13,,5.68,9.02,6.18,8.23,6.57,5.31,2.07,3.8,4.32,,
November,,,,,,4.93,6.1,1.67,,5.99,3.65,2.51,7.14,2.86,3.41,7.94,4.2,9.45,,
December,,,,,,3.24,6.38,3.88,,4.94,2.63,2.93,6.92,2.28,6.86,2.73,9.73,3.74,,
Total,,,,,,50.65,62.06,53.43,,,36.32,45.81,69.57,52.2,50.97,,54.11,62.07,,
,,,,,,,,,,,,,,,,,,,,
The Rectory,,,,,,,,,,,,,,,,,,,,
1868-1869 Observations imperfect and not on sheet,,,,,,,,,,,,,,,,,,,,
1875 Observer left at end of 1874 No observations until Oct 1875,,,,,,,,,,,,,,,,,,,,
1878 No observations,,,,,,,,,,,,,,,,,,,,
