HERTFORD-HAILEYBURY-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL3589310711,Long,-0.031585,Lat,51.778574,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.8,2.1,,,,,3.04,2,0.66,1.12,,,,,,,,,,,-999,1.36,3.69,1.03,1.14,0.66,1.6,1.22,3.06,2.6,0.83,3.09,1.45,1.22,2.87,3.34,2.2,2.36,3.38,1.24,2.88,2.22,2.88,1.36,3.1,1.52,2.18,1.61,1.61,1.52,1.51,1.58,3.73,4.03,2.73,5.16,1.9,2.78,2.85,5.14,1.68,2.07,2.25,1.83,4.52,1.88,1.59,2.68,1.74,0.98,1.08,2.29,3.54,1.04,2.58,0.89,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1,2.7,,,,,1.2,0.26,1.23,3.09,,,,,,,,,,,-999,1.04,1.93,1.36,1.3,0.49,2.72,1.23,1.51,0.73,2.54,3.36,3.34,0.7,0.91,2.94,0.36,0.11,2.01,3.09,0.72,3.05,3.11,3.47,1.35,0.57,0.57,1.67,0.12,1.46,0.23,2.99,2.14,4.08,0.53,0.94,1.6,2.91,1.21,1.4,1.23,1.89,2.89,1.74,1.3,1.39,3.55,5.27,0.58,1.74,2.24,1.64,0.7,2.44,2.46,0.06,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.9,1.55,1.22,,,,,2.47,1.49,1.31,0.53,,,,,,,,,,,1.38,2.97,1.3,0.97,2.84,3.15,0.83,1.95,3.01,2.02,4.01,1.01,3.8,1.52,0.94,2.68,1.61,1.12,1.75,1.82,0.98,0.89,0.14,1.92,2.14,0.03,1.77,0.16,1.68,2.59,2.33,0.5,0.93,2.57,0.43,1.82,3.19,3.17,1.7,0.66,0.24,0.76,1.69,5.92,0.8,0.96,0.74,3.04,3.09,0.41,2.33,1.22,1.03,0.51,1.03,2.11,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.66,0.92,2.16,,,,,0.87,0.89,0.64,0.06,,,,,,,,,,,0.83,1.74,0.4,2.92,2.88,1.76,1.56,1.17,0.12,2.35,0.88,0.94,1.02,1.92,3.55,3.62,4.04,1.44,2.73,1.42,3.3,1.2,2.84,1.65,0.91,1.53,2.12,3.82,2.04,1.09,1.39,3.1,1.49,3.1,0.11,2.71,1.52,1.31,1.46,1.42,1.62,1.35,1.75,2.18,1.48,1.74,1.44,3.27,1.58,2.53,0.19,0.43,1.16,0.22,1.19,1.74,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.47,0.45,3.14,,,,,1.67,2.92,1.44,1.04,,,,,,,,,,,1.74,1.3,1.06,1.83,1.65,1.01,2.51,2.54,0.95,1.77,1.59,2.78,1.76,2.87,2.73,0.38,1.01,0.91,1.17,1.48,3.71,1.76,1.41,0.95,1.37,1.55,2.31,2.1,3.45,2.19,0.58,1.79,0.55,3.1,2.3,1.49,1.48,2.22,2.91,2.27,0.92,2.12,2.66,0.77,2.35,2.4,1.83,2.45,1.31,1.34,2.08,4.18,0.12,0.68,3,0.99,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.94,2.59,2.32,,,,,2.23,2,3.13,0.51,,,,,,,,,,,1.06,3.41,3.15,1.8,0.88,4.61,3,2.15,2.69,0.95,1.79,0.95,2.42,0.89,0.91,1.53,1.64,0.34,1.36,0.66,2.38,0.2,3.11,4.04,3.19,0.71,2.77,1.19,0.94,1.6,1.13,3.51,3.32,1.75,0.5,1.66,0.54,1.02,0.24,1.69,2.2,2.12,2.28,2.74,2.7,0.46,1.77,1,1.26,2.03,3.52,2.63,2.73,1.71,5.39,1.78,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.64,2.9,0.4,,,,,5.97,2.53,1.7,1.89,,,,,,,,,,,3.16,1.97,0.9,1.55,2.71,3.05,1.84,0.61,1.28,2.07,2.14,4.2,1.57,3.37,3.04,2.1,4,0.26,3.16,1.84,5.25,3.76,2.67,2.45,2.12,2.62,2.73,2.85,1.95,1.04,1.1,0.72,4.92,2.17,1.33,1.86,2.52,3.17,2.7,1.85,2.09,3.18,3.33,2.95,1.23,3.11,3.66,0.86,0.35,3.37,2.04,1.3,4.99,2.88,3.43,1.91,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.33,0,1.31,,,,,2.35,3.89,2.85,2.62,,,,,,,,,,,2.62,3.25,0.47,1.78,3.39,1.94,2.45,0.58,6.33,1.31,1.35,4,3.98,4.58,1.23,2.35,1.25,1.59,1.99,2,1.86,3.15,1.39,3.18,2.2,1.13,2.28,4.18,2.27,0.52,2.35,1.49,0.65,1.38,1.41,3.32,0.04,5.32,1.87,1.71,2.83,1.53,3.84,0.04,3.15,1.73,2.01,4.14,5.04,2.85,2.78,1.86,5.25,1.47,3.26,0.75,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.64,1.16,2.03,,,1.15,,0.62,1.25,2.81,2.38,,,,,,,,,,,1.44,1.95,1.37,0.66,1.53,1.92,0.56,1.62,2.7,0.96,1.17,1.84,1.37,1.88,5.37,1.53,2.28,2.13,2.93,1.73,3.25,3.56,2.39,4.99,0.69,0.75,3.5,2.66,1.64,2.46,2.15,3.93,3.29,1.76,3.16,1.96,0.97,0.94,1.77,2.11,3.14,2.8,4.91,1.38,1.73,0.29,3.41,3.45,2.56,2.03,1.67,1.6,2.59,1.12,3.92,0.09,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.86,1.08,4.82,,,1.13,,1.63,4.41,4,3.52,,,,,,,,,,,1.31,1.49,4.28,3,1.27,3.82,1.91,3.19,2.51,3.4,1.45,1.82,3.32,3.46,1.32,0.41,1.1,0.93,1.09,4.8,3.93,3.17,2.28,2.53,3.72,3.45,0.95,0.49,4.32,1.61,1.17,2.8,1.23,2.16,2.82,5.26,2.98,1.3,4.87,2.79,3.84,3.35,1.14,0.16,2.2,5.83,0.39,0.85,2.64,3.15,2.24,3.7,1.89,1.91,2.6,1.74,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,3.14,2.06,3.17,,,4.27,,2.96,2.11,1.75,3.01,,,,,,,,,,,1.6,2.72,3.77,2.27,0.68,0.68,3.36,3.22,2.23,2.24,2.79,2.13,4.07,1.62,2.37,2.07,1.09,2.18,1.3,1.62,2.86,1.51,4.41,2.38,2.56,5.19,3.77,3.05,1.41,1.2,1.89,3.94,3.92,1.7,3.06,4.25,8.65,2.81,2.23,1.67,3.96,0.26,5.59,1.13,1.84,2.66,4.91,4.15,3.41,1.15,3.62,0.7,0.57,2.01,1.74,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
