BRIDGEWATER-DURLEIGH-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST275362,Long,-3.037256,Lat,51.12142,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2080/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.01,2.25,4.03,3.28,5.69,1.57,3.06,2.41,2.88,5.23,0.31,0.46,3.14,2.87,0.38,2.3,4.62,3.19,3.29,2.6,3.77,3.26
February,,,,,,,,,1.14,1.92,2.63,0.34,1.31,0.73,1.97,1.82,1.11,0.98,1.32,4.97,3.91,0.82,1.44,2.94,2.57,0.28,4.16,2.93,0.28,3.15
March,,,,,,,,,0.95,2.35,2.95,1.93,1.25,0.27,0.6,0.95,5.75,1.13,1.34,0.74,3.66,2.1,0.65,3.2,1.16,0.75,2.06,0.89,3.34,1.58
April,,,,,,,,,2.22,2.04,3.02,1.01,0.75,2.04,0.88,3.54,2.53,1.84,1.36,2.13,2.7,2.12,3.43,0.17,1.01,1.58,0,0.57,2.95,2.54
May,,,,,,,,,1.02,2.51,1.6,5.91,2.63,2.42,3.74,5,2.46,3.05,2.11,1.7,2.61,3.44,1.75,1.87,3.84,0.49,1.49,3,0.91,1.08
June,,,,,,,,,3.4,0.66,1.62,0.71,1.33,1.96,2.73,2.35,1.49,1.7,0.33,1.06,0.63,1.22,2.54,2.85,2.58,1.47,3.07,3.19,1.08,1.15
July,,,,,,,,,4.74,3.36,1.94,1.31,2.15,1.49,3.03,1.75,1.6,1.69,2.12,3.45,2.31,0.54,2.09,2.88,1.89,2.16,2.99,2.61,1.8,5.97
August,,,,,,,,,2.06,0.07,3.23,3.61,2.81,2.27,2.02,4.24,1.22,4.04,1.19,5.19,3.96,4.59,3.51,2.3,0.62,3.48,3.05,2.69,1.03,3.14
September,,,,,,,,,0.81,1.72,1.3,1.91,2.71,2.53,1.83,2.88,1.15,1.36,2.85,3.68,2.52,2.9,2.72,3.55,0.7,4.15,3.48,4.54,0.15,2.87
October,,,,,,,,,3.12,4.4,2.11,2.45,2.82,3.89,3.34,0.97,0.6,3.23,5.64,1.95,1.18,4.28,3.22,2.35,1.36,2,1.92,2.2,3.82,10.57
November,,,,,,,,,5.62,6.34,2.66,1.25,2.23,5.58,0.77,4.7,1.84,1.31,4.59,6.29,6.35,4.49,2.25,6.65,3.66,0.82,2.15,2.74,5.3,3.24
December,,,,,,,,,1.62,2.75,2.11,3.1,2.26,3.13,4.59,3.1,2.45,4.3,1.57,1.82,2.24,2.48,0.9,3.37,4.83,4.34,2.26,4.08,6.43,3.44
Total,,,,,,,,,32.71,30.37,29.2,26.81,27.94,27.88,28.56,33.71,25.08,29.86,24.73,33.44,35.21,31.85,24.88,34.43,28.84,24.71,29.92,32.04,30.86,41.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as DURLEIGH RESR SRC_ID 9251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
