ILMINSTER-WHITE-LACKINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST380155,Long,-2.8842,Lat,50.9363,Elevation,136,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,8.55,6.03,3.31,4.28,0.98,7.21,1.5,4.34,0.91,3.79,1.62,3.66,3.77,3.09,4.23,3.03,1.01,0.83,4.59,2.61,2.32,3.65,4.06,4.37,0.59,2.29,0.63,5.02,4.72,3.13,,,,,,,,
February,,,4.39,2.11,3.85,2.21,3.67,1.44,2.04,4.42,5.82,5.02,2.54,6.47,3.9,4.43,1.14,0.5,0.88,1.67,1.61,0,2.21,4.22,2.76,0.18,0.56,4.48,2.21,4.06,5.49,1.45,,,,,,,,
March,,,3.92,2.67,0.56,1.26,4.04,1.96,1.74,0.4,1.45,2.44,1.56,1.42,3.54,1.06,2.95,1.64,4.13,3.61,1.34,2.79,0.86,0.58,1.54,3.31,3.04,5.29,1.29,0.57,1.51,2.74,,,,,,,,
April,,,2.75,0.94,1.92,1.26,3.43,3.92,3.94,4.31,2.59,1.65,5.11,1.29,2.14,4.1,2.72,1.32,2.15,3.29,3.35,0.81,0.95,0.18,2.33,2.52,0.58,3.09,2.19,2.63,1.4,2.83,,,,,,,,
May,,,1.63,1.08,0.99,2.42,0.35,3.56,6.06,3.19,1.96,1.2,1.71,1.9,1.09,2.68,3.36,2.37,1.97,2.39,1.6,3.96,0.74,1.05,2.19,0.44,0.08,1.88,5.39,1.79,1.92,,,,,,,,,
June,,,3.21,1.23,1.8,3.52,1.2,1.02,2.28,6.36,1.3,2.89,4.11,2.26,2.48,1.29,0.74,0.42,3.4,1,2.36,1.43,1.71,0.6,2.06,1.27,1.92,2.6,1.75,0.72,2.09,,,,,,,,,
July,,,3.59,3.33,1.1,4.64,0.56,2.46,2.06,2.59,3.59,2.28,4.74,2.29,2.84,0.17,2.88,1.09,7.93,3,4.56,3.11,1.92,3.92,3.76,2.56,1.63,0.82,0.23,0.82,0.79,,,,,,,,,
August,,,2.78,3.9,2.47,2.65,2.45,3.93,4.09,4.33,0.41,4.55,2.23,1.14,1.21,1.26,1.39,1.1,1.62,2.83,2.46,6.37,3.86,1.62,4.48,2.9,1.66,4.62,1.31,1.45,2.13,,,,,,,,,
September,,,2.51,2.41,7.06,2.59,6.07,2.62,2.58,3.53,4.06,2.26,3.1,6.04,2.02,4.22,2.19,2.65,1.83,1.21,1.58,2,2.11,1.52,2.7,0.99,5.61,3.67,1.5,2.96,0.87,,,,,,,,,
October,,,4.94,1.37,4.49,7.23,2.27,2.34,4.76,1.32,6.05,2.01,7.45,3.19,0.62,5.88,5.7,3.18,1.53,4.28,1.25,9.95,4.77,3.46,4.2,3.98,2.23,1.85,4.85,2.47,2.87,,,,,,,,,
November,,,5.81,4.16,2.42,4.81,4.8,7.95,4.24,0.38,3.39,4.36,4.16,4.06,1.87,3.91,3.39,3.39,7.26,1.27,2.68,4.91,3.03,2.4,6.48,7.76,1.16,1.16,5.18,4.23,3.53,,,,,,,,,
December,,,7.32,0.45,3.89,0.85,10.74,2.58,2.22,1.36,4.14,3.41,3.62,1.22,2.58,1.71,6.17,2.45,3.66,2.16,2.12,5.1,1.1,4.58,2.56,3.39,6.85,6.62,3.3,3.53,5.93,,,,,,,,,
Total,,,51.4,29.68,33.86,37.72,40.56,40.99,37.51,36.53,35.67,35.86,41.95,34.94,28.06,33.8,36.86,23.14,37.37,27.54,29.5,43.04,25.58,27.78,39.12,33.67,25.91,38.37,29.83,30.25,33.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 & 1871 Totals estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
