ST-ALBANS-TOWNSEND-CE-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL148086,Long,-0.33788067,Lat,51.764322,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,926/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,0.93,0.63,1.78,1.2,0.91,,4.58,,,,
February,,,,,,,,,,,,,,,,,,,,4.67,4.63,0.66,1.8,2.15,,0.25,,,,
March,,,,,,,,,,,,,,,,,,,,0.82,3.22,2.56,0.37,2.42,,0.99,,,,
April,,,,,,,,,,,,,,,,,,,,1.82,2.88,2.3,3.06,0.13,,1,,,,
May,,,,,,,,,,,,,,,,,,,,1.71,2.59,1.21,1.58,2.16,,0.15,,,,
June,,,,,,7.71,,,,,,,,,,,,,0.45,1.3,,1.29,1.87,3.5,,0.76,,,,
July,,,,,,5.98,,,,,,,,,,,,,1,4.63,,0.57,3.29,2.86,,2.13,,,,
August,,,,,,0.41,,,,,,,,,,,,,1.99,2.93,,5.31,1.9,3.3,,2.35,,,,
September,,,,,,2.63,,,,,,,,,,,,,0.56,3.16,,2.87,1.86,2.19,,3.78,,,,
October,,,,,,2.34,,,,,,,,,,,,,6.33,0.4,,3.84,2.83,1.67,,1.68,,,,
November,,,,,,3.92,,,,,,,,,,,,,2.74,5.13,,3.94,1.69,5.67,,0.5,,,,
December,,,,,,,,,,,,,,,,,,,1.73,1.5,,2.71,0.54,1.72,,4.28,,,,
Total,,,,,,,,,,,,,,,,,,,,29,,29.04,21.99,28.68,,22.45,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that 1930s gauge position was perhaps 100 or 200 yards West of later readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
