SPALDING - MARSH FARM,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF262247,Long,-0.129,Lat,52.805,Elevation,0,ft,,,,,,,,,,,,,
Station no,2531,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
January,,1.10,2.68,1.36,1.64,2.25,0.83,1.22,0.95,,2.05,3.02,2.34,3.86,1.48,2.62,1.81,3.97,1.94,2.52,1.30
February,,1.94,0.92,0.63,0.42,2.11,0.56,1.89,0.55,,2.07,2.51,1.16,0.49,2.09,2.60,1.40,0.36,1.82,1.89,3.56
March,0.42,2.00,1.40,0.17,1.72,0.28,1.45,2.26,1.51,,0.83,2.81,0.18,1.54,1.35,3.69,1.29,0.54,0.27,0.70,0.97
April,1.53,1.67,1.00,0.63,2.02,2.41,2.54,1.14,1.89,,1.95,2.42,0.07,1.92,0.96,0.72,0.57,1.09,1.87,0.87,1.31
May,2.17,0.92,1.33,0.99,2.45,2.57,3.60,1.20,0.57,,1.73,4.41,2.50,0.75,1.07,2.54,2.55,2.12,1.03,1.74,1.08
June,2.90,3.17,4.07,0.77,0.52,1.39,0.30,1.36,1.32,,3.01,1.24,1.16,1.81,0.86,0.43,0.90,2.14,2.92,2.43,1.75
July,1.05,1.66,1.96,1.46,3.00,4.21,3.95,0.66,1.64,,5.54,3.90,2.50,2.72,2.84,5.74,2.41,0.98,1.57,1.50,1.74
August,0.78,3.10,2.06,1.22,3.06,3.79,1.63,0.62,2.34,,0.72,0.40,1.09,1.72,0.16,4.21,2.81,1.89,2.08,4.89,3.89
September,2.65,3.99,0.40,0.71,3.90,3.37,3.24,2.34,1.26,,1.53,1.84,1.87,0.98,0.75,0.59,1.18,1.77,3.37,2.14,2.31
October,2.08,1.83,3.41,2.25,0.67,0.53,3.11,2.72,0.70,,1.45,2.09,1.70,3.71,2.51,2.73,2.96,1.02,2.57,2.14,2.43
November,2.74,2.54,2.22,3.73,2.32,1.78,1.33,1.75,1.79,,1.74,1.20,1.26,2.80,4.52,3.31,2.59,1.63,2.70,0.75,4.49
December,0.62,2.22,1.26,4.30,1.96,0.72,0.40,0.10,3.45,,1.41,2.78,3.43,1.75,1.38,0.42,1.64,0.78,1.07,2.36,2.19
Total,,26.14,22.71,18.22,23.68,25.41,22.94,17.26,17.97,,24.03,28.62,19.26,24.05,19.97,29.60,22.11,18.29,23.21,23.93,27.02
,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/020,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/087,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/170,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"# The grid reference on the 1940s sheet does not correspond with Marsh Farm on the map, or with the directions to Fulney church, and has been ignored.",,,,,,,,,,,,,,,,,,,,,
