"FEWSTON, SPINKSBURN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE200549,Long,-1.69646,Lat,53.989762,Elevation,635,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,6.07,2.58,1.15,0.99,3.72,1.79,2.48,1.24,4.02,4.66,1.36,2.36,2.37,4.8,4.48,2.27,1.86,2.81,2.85,1.4,,,,
February,,,,,,,1.34,0.92,0.85,1.65,1,0.18,3.93,4.31,5.75,0.61,0.89,3.12,2.65,1.73,6.64,1.69,1.49,3.82,3.52,1.95,,,,
March,,,,,,,3.45,1.33,4.81,2.13,2.45,2.02,1.5,0.88,2.82,2.51,3.79,4.14,1.48,1.42,1.15,2.26,1.38,4.53,2.16,3.01,,,,
April,,,,,,,2.38,0.79,3.44,3.34,1.54,2.37,1.89,0.79,2.31,2.07,1.86,2.26,2.49,2.79,1.91,2.74,1.68,1.63,2.28,2.62,,,,
May,,,,,,,4.66,1.92,0.98,2.6,2.73,1.82,3.19,2.11,1.61,0.55,0.48,1.13,2.46,3.2,1.48,1.45,2.74,3.69,2.99,0.56,,,,
June,,,,,,,1.27,0.11,3.12,0.2,3.35,1.01,4.3,2.16,3.11,2.48,5.07,3.93,2.03,1.63,3.12,1.65,2.57,1.74,2,1.54,,,,
July,,,,,,,3.03,1.43,5.93,1.9,2.01,4.13,1.54,3,3.47,4.81,1.92,1.56,2.21,2.06,3.06,1.91,2.18,3.93,2.97,,,,,
August,,,,,,,2.05,2.56,3.68,4.62,4.66,4.04,4.12,2.88,2.95,2.41,1.89,4.02,3.7,1.62,5.16,1.37,4.33,5.04,3.96,,,,,
September,,,,,,,2.16,4.2,0.62,1.39,2.19,1.92,1.71,1.9,0.75,1.83,4.33,3.12,0.79,3.77,0.84,1,1.39,4.26,1.42,,,,,
October,,,,,,,4.48,2.47,0.79,5.22,1.42,3.94,6.63,2.82,4.72,4.51,3.49,1.67,5.04,2.84,4,1.81,3.62,8.21,1.05,,,,,
November,,,,,,,2.4,3.08,6.67,1.04,3.39,3.12,2.03,2.17,1.62,3.8,1.64,2.27,2.81,1.23,3.68,4.52,2.03,2.09,3.49,,,,,
December,,,,,,,4.23,2.28,2.22,1.72,1.05,4.63,1.1,3.36,2.68,4.07,4.3,2.99,3.59,3.84,3.51,4.42,2.72,1.79,1.91,,,,,
Total,,,,,,,37.52,23.67,34.26,26.8,29.51,30.97,34.42,27.62,35.81,34.31,31.02,32.57,31.62,30.93,39.03,27.09,27.99,43.54,30.6,,,,,
