"SPARSHOLT",,,,,,,,,,,,
Grid ref,SU427319,Long,-1.391755,Lat,51.084835,,,,,,,
Station no,657/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.96,2.00,0.88,1.88,3.25,4.90,2.58,4.12,3.60,4.37,,
February,7.37,0.74,1.57,3.13,1.65,0.31,4.50,2.53,0.16,2.89,,
March,3.99,2.72,0.65,3.61,1.22,2.72,2.03,1.89,4.17,1.64,,
April,2.89,1.59,2.69,0.38,0.41,1.31,0.16,0.75,3.82,1.32,,
May,3.84,3.12,2.47,1.74,4.37,0.54,1.75,2.51,0.65,1.38,,
June,1.12,1.67,1.88,3.48,2.85,2.08,1.51,3.73,1.31,3.09,,
July,2.82,0.36,3.39,2.66,0.81,2.79,5.17,1.62,2.14,4.71,,
August,5.51,3.59,2.11,3.76,0.29,4.15,3.22,3.96,1.97,3.26,,
September,4.42,2.71,2.37,3.07,2.23,3.94,3.44,5.34,0.08,5.05,,
October,0.64,4.82,4.85,2.92,4.62,3.50,2.65,3.59,3.15,10.50,,
November,9.22,3.63,2.39,7.10,3.20,0.73,3.16,2.40,4.00,5.26,,
December,3.19,2.51,0.75,3.54,4.31,5.94,3.87,4.27,7.97,4.45,,
Total,48.97,29.46,26.00,37.27,29.21,32.91,34.04,36.71,33.02,47.92,,
Calc annual,48.97,29.46,26.00,37.27,29.21,32.91,34.04,36.71,33.02,47.92,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
