SPARSHOLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU427319,Long,-1.391755,Lat,51.084835,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,657/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.74,6.33,,2.88,,,2.79,1.9,2.98,2.5,7.09,1.09,0.41,3.96,2,0.88,1.88,3.25,4.9,2.58,4.12,3.6,4.37
February,,,,,,,,0.89,1.88,3.42,3.21,0.82,,0.57,2.63,2.24,1.44,1.48,1.8,4.96,7.37,0.74,1.57,3.13,1.65,0.31,4.5,2.53,0.16,2.89
March,,,,,,,,0.33,1.6,3.39,3.48,2.13,0.57,0.28,1.01,1.18,6.46,1.23,1.67,2.29,3.99,2.72,0.65,3.61,1.22,2.72,2.03,1.89,4.17,1.64
April,,,,,,,,0.05,1.55,1.11,2.23,2.17,1,1.84,1.05,2.8,3.11,2,2.15,2.45,2.89,1.59,2.69,0.38,0.41,1.31,0.16,0.75,3.82,1.32
May,,,,,,,,2.09,1.8,0.4,1.81,4.23,2.96,0.2,2.46,3.5,1.29,3.69,2.46,1.56,3.84,3.12,2.47,1.74,4.37,0.54,1.75,2.51,0.65,1.38
June,,,,,,,,1.21,1.65,0.36,1.34,0.23,1.32,2.74,3.29,3.69,1.95,2.38,0.51,1.14,1.12,1.67,1.88,3.48,2.85,2.08,1.51,3.73,1.31,3.09
July,,,,,,,,2.96,7.02,5,2.18,1.83,2.26,,1.45,1.26,1.31,1.04,1.06,4.09,2.82,0.36,3.39,2.66,0.81,2.79,5.17,1.62,2.14,4.71
August,,,,,,,,2.99,2.54,0.06,4.81,4.1,1.78,2.42,2.19,5.31,0.73,4.36,1.09,6.74,5.51,3.59,2.11,3.76,0.29,4.15,3.22,3.96,1.97,3.26
September,,,,,,,,1.76,1.17,2.58,0.31,2.69,2.3,2.37,2.72,5.42,1.4,3.09,2.53,3.88,4.42,2.71,2.37,3.07,2.23,3.94,3.44,5.34,0.08,5.05
October,,,,,,,,,4.89,4.6,1.6,4.18,4.93,5.15,,1.5,1.08,,8.27,1.04,0.64,4.82,4.85,2.92,4.62,3.5,2.65,3.59,3.15,10.5
November,,,,,,,,5.4,9.03,8.99,3.55,1.02,2.1,6.37,,8.05,1.41,1.89,3.86,5.91,9.22,3.63,2.39,7.1,3.2,0.73,3.16,2.4,4,5.26
December,,,,,,,,4.99,2.05,,2.39,4.95,2.32,2.98,5.47,3.13,3.13,4.87,1.32,2.11,3.19,2.51,0.75,3.54,4.31,5.94,3.87,4.27,7.97,4.45
Total,,,,,,,,,41.51,,29.79,,,,,41.06,25.81,,27.81,36.58,48.97,29.46,26,37.27,29.21,32.91,34.04,36.71,33.02,47.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note says The following values for some months would see more reasonable but prior to 1950 values cannot be checked by authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct (3.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan (2.75) Dec (1.96),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan (3.91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Jan (6.56) Feb (1.54) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 July (3.66),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Oct (4.13) Nov (0.36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Oct (2.40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Mis copied from file ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Mis copied from file ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Checks with figures on file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Dec Big but auth confirms total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Mar Big but auth confirms total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 July 1 Inspection o/e W-NW and S-SE Otherwise satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
