BALBY (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE569010,Long,-1.143633,Lat,53.502625,Elevation,29,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,05/05/3111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2,1.47,1.02,2.67,3.04,1.49,4.01,1.52,3,2.23,3.27,2.26,1.8,1.72,2.05,4.36,0.69,0.79,1.64,1.84,0.32,1.27,1.49,3.12,1.07,2.27,2.09,4.19
February,,,2.94,0.73,2.57,2.5,2.67,1.17,0.75,1.84,2.34,0.87,0.83,1.6,1.5,2.15,1.25,1.14,0.76,3.93,2.33,0.41,1.43,1.93,1.65,0.95,1.8,3.07,0.09,1.79
March,,,2.93,1.98,0.96,1.13,1.84,0.26,1.72,1.55,3.68,1.91,0.52,0.41,0.43,0.82,3.73,0.55,1.27,1,2.44,1.55,0.63,1.36,2.3,0.53,0.97,1.88,0.65,1.3
April,,,0.83,2.39,1.57,1.36,3.06,0.04,1.51,1.9,1.23,0.72,1.26,1.98,1.23,1.42,1.68,1.34,2.06,2.3,0.67,0.77,1.88,0.24,0.63,2.12,0.13,0.28,2.53,0.6
May,,,2.33,0.85,0.44,0.93,3.01,2.67,1.36,0.52,1.61,2.28,1.94,2.5,2,1.7,1.39,1.73,1.54,2.16,4.05,1.68,1.57,2.85,2.33,0.08,0.84,1.78,0.56,1.65
June,,,2.77,1.9,2.63,3.44,2.04,1.82,1.45,0.87,0.18,1.17,0.83,2.41,2.04,2.2,2.94,2.73,0.79,1.01,0.8,1.67,1.48,1.52,2.46,4.11,1.84,4.1,1.31,0.52
July,,,2.21,1.62,0.51,2.89,2.53,2.62,3.01,4.18,2.59,1.12,0.66,2.01,1.66,3.86,0.81,1.05,3.87,1.68,1.21,1.3,2.69,1.77,0.64,3.54,3.62,5.42,1.55,2.07
August,,,0.34,1,1.85,1.33,0.09,2.06,1.85,0.48,2.29,2.42,1.8,3.15,1.69,4.59,0.46,3.87,1.55,3.09,4.79,1.01,1.99,5.39,0.14,5.95,5.76,2.19,0.41,3.56
September,,,1.48,1.44,4.59,1.99,1.3,1.62,1.19,0.48,0.34,1.69,2.69,3.49,0.97,2.69,1.13,0.93,0.76,2.6,1.22,2.29,1.22,1.35,0.75,1.88,3.73,1.59,,2.94
October,,,5.17,1.2,2.79,1.98,2.96,2.34,2.65,3.96,2.14,2.09,1.44,2.25,2.81,0.88,0.53,1.51,3.26,0.73,1.2,2.71,1.89,2.72,1.49,1.18,1,1.36,1.78,5.73
November,,,1.88,1.97,4,2.46,1.41,2.11,3.36,4.95,2.97,1.44,1.27,3.58,0.22,4.75,1.18,1.11,2.84,3.61,5.09,1.37,1.15,4.31,1.84,0.93,2.53,0.67,3.21,3.33
December,,,0.32,3.46,2.53,1.34,3.69,3.11,2.27,2.07,0.53,1.21,0.75,1.64,1.27,2.2,2.01,2.71,1.6,1.17,1.38,1.4,0.94,2.08,1.83,2,1.77,2.85,2.93,1.88
Total,,,25.2,20.01,25.46,24.02,27.64,21.31,25.13,24.32,22.9,19.15,17.26,27.28,17.62,28.98,19.16,23.03,20.99,24.07,26.82,18,17.19,26.79,17.55,26.39,25.06,27.46,17.11,29.56
