"GLENMORISTON (INVERMORISTON POST OFFICE)",,,,,,,,,,,,
Grid ref,NH417170,Long,-4.623018,Lat,57.216309,,,,,,,
Station no,5712,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.17,4.41,3.02,4.07,3.84,3.41,8.86,3.57,3.22,3.97,,
February,3.82,1.87,3.38,3.37,4.90,2.93,3.69,2.63,2.26,3.65,,
March,1.81,2.74,2.57,2.82,1.57,1.84,3.54,1.61,1.33,0.89,,
April,7.69,1.85,3.75,1.49,1.75,1.99,1.25,3.66,3.60,3.65,,
May,0.80,2.22,4.88,4.42,2.60,3.74,1.30,4.19,1.40,1.07,,
June,2.78,2.36,7.39,2.51,1.32,1.71,1.74,1.98,2.95,2.33,,
July,3.40,2.01,4.39,2.11,0.45,5.01,4.40,2.70,4.46,2.16,,
August,4.89,5.20,3.01,2.20,0.51,6.65,3.69,4.66,2.72,5.89,,
September,2.38,3.19,4.00,4.56,4.49,5.32,2.13,3.30,0.65,2.64,,
October,2.02,4.47,1.47,7.48,5.14,5.18,4.88,5.68,5.39,1.53,,
November,3.52,2.67,8.71,4.99,0.60,2.98,1.90,1.11,6.97,3.53,,
December,8.20,5.32,5.41,8.16,7.50,9.69,6.91,4.47,6.67,6.57,,
Total,46.48,38.31,51.98,48.18,34.67,50.45,44.29,39.56,41.62,37.88,,
Calc annual,46.48,38.31,51.98,48.18,34.67,50.45,44.29,39.56,41.62,37.88,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
