SEER-GREEN,,,,,,,,,,
Grid ref,SU965921,Long,-0.607524,Lat,51.619461,Elevation,330,ft,,
Station no,1013/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.42,3.33
February,,,,,,,,3.28,0.1,2.4
March,,,,,,,,1.52,2.98,1.2
April,,,,,,,0.19,,2.8,2.05
May,,,,,,,0.51,,0.71,0.14
June,,,,,,,0.99,,0.57,1.54
July,,,,,,,3.04,,3.53,3.2
August,,,,,,,2.33,,1.77,2.9
September,,,,,,,2.55,,0,3.45
October,,,,,,,2.25,,1.45,6.74
November,,,,,,,2.03,2.54,0.8,5.45
December,,,,,,,1.85,,6.95,3.86
Total,,,,,,,,,23.08,36.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1958 All months except Feb Mar & Nov estimated,,,,,,,,,,
1959 Sep dash=zero,,,,,,,,,,
