MORPETH EARSDON,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ207925,Long,-1.6761215,Lat,55.226291,Elevation,200,ft,,,,,,,,,,,,
Station no,RR6292,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.16,1.2,5.1,3.36,1.1,0.47,1.74,1.36,1.85,,,,,,
February,,,,,,2.18,3.12,2.26,1.24,3.67,1.61,3.76,1.73,1.54,,,,,,
March,,,,,,1.08,2.86,5.12,0.62,1.46,1.74,2.97,1.75,1.61,,,,,,
April,,,,,,0.63,5.1,4.87,2.17,2.57,2.1,1.53,3.71,1.33,,,,,,
May,,,,,,0.87,1.32,3.76,2.83,2.31,1.68,2.31,1.87,1.89,,,,,,
June,,,,,,1.97,1.5,1.2,2.71,4.01,1.38,3.15,4.33,2.13,,,,,,
July,,,,,,2.64,2.68,3.68,0.51,3.98,3.71,3.74,3.55,5.6,,,,,,
August,,,,,,2.48,1.43,8.15,5.07,4.57,1.64,6.1,2.8,2.47,,,,,,
September,,,,,,2.87,4.16,1.32,1.79,1.53,4.76,3.98,1.79,4.3,,,,,,
October,,,,,,5.13,1.53,3.92,1.88,0.58,4.31,4.12,4.07,2.59,,,,,,
November,,,,,,5.68,4.63,2.86,6.32,2.97,3.07,2.63,2.92,1.84,,,,,,
December,,,,,,1.96,10.45,1.81,3.56,1.03,3.14,2.9,3.49,2.59,,,,,,
Total,,,,,,30.65,39.98,44.05,32.06,29.78,29.61,38.93,33.37,29.74,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt4-page-057.csv has total for 1883 only and this value is the same as above.,,,,,,,,,,,,,,,,,,,,
No indication that page 057 is a different gauge,,,,,,,,,,,,,,,,,,,,
"Observer TJ Murday lived at Tritlington Hall, Earsdon in 1881",,,,,,,,,,,,,,,,,,,,
"Record elevation of 600ft not possible in Earsdon area, max in 374'. Hall is 204'",,,,,,,,,,,,,,,,,,,,
