HAWKHURST-SANDHURST-RECTORY (Gardens),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ788276,Long,0.547932,Lat,51.019972,Elevation,208,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.14,3.4,,,,,,,,,,,2.7,2.9,0.8,2.59,4.24,2.53,0.86,2.92,0.78,2.63,4,0.95,1,2.73,4.64,1.34,4.41,1.04,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.59,4.74,,,,,,,,,,,1.56,0,2.16,4.88,2.12,0.35,0.37,2.51,1.14,2.83,6.38,2.03,1.81,1.62,3.38,0.91,2.54,1.55,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.68,0.83,,,,,,,,,,,2.76,2.13,1.92,0.58,1.72,2.35,2.65,4.83,1.69,1.08,1.63,1.89,1.57,2.83,1.57,4.35,1.9,0.93,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,4.35,3.66,,,,,,,,,,,3.22,0.64,1.52,0.02,2.88,1.92,0.7,2.15,0.99,3.1,1.29,2.72,1.01,2.08,1.01,2.56,1.23,3.83,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,4,3.7,,,,,,,,,,,1.74,3.31,0.53,1.03,2,0.18,0.3,1.04,4.31,1.77,0.83,0.82,2.31,2.68,2.35,1.53,2.01,2.58,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.27,4.15,,,,,,,,,,,2.74,2.05,2.71,0.75,2.02,0.17,3.18,2.16,1.86,1.07,2.44,1.52,2.43,3.97,1.11,4.77,1.49,1.87,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.29,3.63,,,,,,,,,,,2.97,2.64,2.48,3.51,5.74,3.58,0.91,0.76,0.29,1.1,1.28,4.31,1.08,4.63,2.19,0.81,0.7,1.57,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.81,3.73,,,,,,,,,,,3.31,5.22,5.51,1.03,1.56,2.78,2.12,3.58,1.62,1.17,2.39,2.17,4.06,3.58,1.28,2.61,0.91,1.5,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.31,2.37,,,,,,,,,,,1.72,0.59,2.27,3.7,3.42,0.57,6.87,2.33,0.87,3.13,1.17,0.73,1.04,3.57,1.06,3.6,1.98,0.72,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.42,1.02,,,,,,,,,,,1.12,5.69,6.68,4.49,4.46,4.52,6.14,0.2,2.7,2.63,2.79,2.24,2.27,5.13,2.02,2.88,5,5.57,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
