LOCH MERKLAND (GARUAULT) TURF WALL,,,,,,,,,,
Grid ref,NC372305,Long,-4.774352,Lat,58.233047,Elevation,1100,ft,,
Station no,5799/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,11,10.9,,,,10.55,11.11,7.4,5.31
February,,8.33,8.65,,,,9.3,11.19,4.09,8.45
March,,7.05,6.02,,,,7.9,6.51,3,1.61
April,,2.09,7.05,,,,4.16,5.32,6.58,7.23
May,,6,4,,,,3.2,8.3,5.1,2.01
June,,6.63,2.6,,,,4.83,2.6,9.08,5.15
July,,5.85,5.95,,,,5.45,4.09,9.5,3.54
August,,8.6,6.6,,,,15.6,9.72,6.91,5.79
September,,10.14,10.6,,,,10.88,3.72,4.51,3.63
October,,8.8,5,,,,13.44,10.87,10.5,4.02
November,,10.3,17.5,,,,6.5,4.78,8.43,5.25
December,,9.4,8.8,,,,14.05,9.5,7.87,12.73
Total,,94.19,93.67,,,,105.86,87.71,82.97,64.72
,,,,,,,,,,
1953 Au Sep Estd,,,,,,,,,,
1954 Deleted no real monthly totals,,,,,,,,,,
,,,,,,,,,,
Station no,5799/7,,,,,,,,,
Midas,14473,,,,,,,,,
Hyd Stn,781119,,,,,,,,,
