KENTMERE HEAD RESERVOIR,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY446074,Long,-2.8560839,Lat,54.458945,Elevation,920,ft,,,,,,,,,,,,,
Station no,3723,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,14.87,20.17,8.4,7.12,9.8,,,,,3.92,16.84,8.23,18.97,10.76,16.22,3.08,14.48,13.38,14.95,14.52,3.64
February,11.31,0.44,8.27,11.22,1.16,,,,,2.52,0.94,8.79,0.11,8.77,0.67,18.6,5.09,12.51,5.67,13.53,2.64
March,10.42,14.38,6.02,4.13,2.66,,,,,2.1,6.55,1.88,7.48,6.91,6.86,4.55,6.04,4,8.41,8.94,10.78
April,9.19,3.28,4.28,6.84,4.1,,,,,4.18,4.29,4.41,8.47,6.95,7.71,6.5,2.41,5.96,1.08,3.82,3.61
May,10.76,6.41,6.39,5.85,8.4,,,,,6.13,3.37,6.06,6.7,4.04,7.6,0.34,2.68,3.81,6.78,1.37,1.15
June,4.01,0.27,5.07,3.57,5.61,,,,,5.59,3.89,10.21,5.4,4.2,4.77,9.68,7.6,5.11,14.25,,1.31
July,10.51,5.47,11.7,7.78,9.47,,,,,11.47,6.59,10.69,9.4,8.15,2.54,5.96,12.31,5.25,13.25,15.11,8.05
August,7.1,13.44,9.47,18,7.77,,,,,13.2,13.29,7.07,2.94,5.8,10.37,6.91,7.47,4.51,7.55,4.43,4.16
September,4.74,3.3,8.44,12.69,13.36,,,,7.29,4.32,7.56,4.76,11.22,2.13,10.02,17.18,13.23,8.26,5.89,3.75,9.13
October,3.15,4.73,4.03,18.17,10.5,,,,17.18,12.94,18.09,9.37,13.95,7.53,16.06,17.29,9.86,4.66,23.67,5.35,
November,7.28,5.12,5.03,13.22,8.77,,,,21.12,20.4,11.53,19.02,9.5,4.22,3,10.03,10.63,3.32,17.04,18.13,
December,10.21,17.8,14.37,9.99,10.91,,,,10.57,18.45,11.31,9.73,14.79,1.97,17.51,6.14,17.03,8.77,8.8,5.49,
Total,103.55,94.81,91.47,118.58,92.51,,,,,105.22,104.25,100.22,108.93,71.43,103.33,106.26,108.83,79.54,127.34,,
,,,,,,,,,,,,,,,,,,,,,
1939 June estimated and removed along with total,,,,,,,,,,,,,,,,,,,,,
