PINNER-HILLCREST-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ118892,Long,-0.38753832,Lat,51.590569,Elevation,200,ft.,,,,,,,,,,,,
Station no,864/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.51,4.93,2.29,2.3,2.92,4.45,1.59,1.71,1.74,,,,
February,,,,,,,,0.4,0.93,1.77,2.19,0.89,1.25,0.76,1.9,3.08,,,,
March,,,,,,,,0.34,1.39,2.66,2.76,1.74,0.38,0.19,0.59,1.21,,,,
April,,,,,,,,0.14,2.56,1.63,1.98,1.56,0.85,2,1.04,2.47,,,,
May,,,,,,,,1.51,1.54,1.49,1.67,3.09,2.11,0.78,2.74,3.4,,,,
June,,,,,,,,0.38,2.24,2.14,1.77,0.33,1.83,1.5,1.93,2.53,,,,
July,,,,,,,,0.94,1.75,2.72,4.22,1.74,1.74,1.42,3.33,2.43,,,,
August,,,,,,,,4.04,3.18,0.24,4.65,2.31,1.66,2.49,1.66,3.91,,,,
September,,,,,,,,1.64,0.96,1.18,0.53,0.91,2.29,3.23,1.71,3.1,,,,
October,,,,,,,2.58,3.19,4.92,2.76,0.73,3.73,2.68,3.48,3.02,1.21,,,,
November,,,,,,,1.24,3.52,5.15,6.72,2.53,1.94,1.28,3.81,0.19,4.74,,,,
December,,,,,,,3.74,3.02,1.36,1.34,1.67,2.66,1.31,1.57,2.94,2.23,,,,
Total,,,,,,,,22.63,30.91,26.94,27,23.82,21.83,22.82,22.76,32.05,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Hillcrest Avenue. Stated altitude is 40 ft too high,,,,,,,,,,,,,,,,,,,,
"The 1940s record has an NGR of TQ120892, which is not Hillcrest Avenue and the stated altitude is also 40 ft. too high",,,,,,,,,,,,,,,,,,,,
