SOUTHWELL-GRANTS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK704538,Long,-0.95058291,Lat,53.076798,Elevation,97,ft,,,,,,,,,,,,
Station no,RR7232,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.72,1.51,3.05,1.4,1.16,1.81,1.86,,,,,
February,,,,,,,,0.52,1.16,2.05,0.8,0.18,1.8,2.56,1.84,,,,,
March,,,,,,,,1.44,2.35,3.68,1.61,1,0.76,0.26,0.89,,,,,
April,,,,,,,,1.18,2.15,2.45,0.37,1.94,0.82,0.39,2.01,,,,,
May,,,,,,,,1.85,0.64,3.9,3.23,3.45,3.14,1.57,1.44,,,,,
June,,,,,,,,0.36,1.97,0.62,2.62,3.84,2.98,1.3,2.3,,,,,
July,,,,,,,,1.45,4.76,1.82,2.24,2.27,1.93,2.97,2.58,,,,,
August,,,,,,,,1,2.56,3.33,2.99,3.97,2.46,0.82,1.99,,,,,
September,,,,,,,,2.03,0.98,2.15,1.11,0.79,3.23,1.11,0.71,,,,,
October,,,,,,,,1.85,0.56,3.22,1.04,4.58,4.59,1.5,2.5,,,,,
November,,,,,,,,1.44,3.37,0.59,3.23,2.67,1.14,1.9,2.23,,,,,
December,,,,,,,,1.56,1.93,1.64,0.7,2.98,0.68,2.16,2.1,,,,,
Total,,,,,,,,,23.15,26.96,22.99,29.07,24.69,18.35,22.45,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1884 estimated values,,,,,,,,,,,,,,,,,,,,
1887 Jan estimated,,,,,,,,,,,,,,,,,,,,
