NEWBURY-TYDEHAM,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU464652,Long,-1.3346309,Lat,51.383958,Elevation,400,ft.,,,,,,,,,,,,,
Station no,796,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.37,4.42,1.91,3.29,2.6,2.64,,,,,,
February,,,,,,,,,,0.68,0.67,1.83,0.14,4.48,0.13,,,,,,
March,,,,,,,,,,0.14,1.03,0.22,2.16,3.36,2.54,,,,,,
April,,,,,,,,,,0.96,2.4,3.06,2.8,1.43,1.98,,,,,,
May,,,,,,,,,,1.69,1.96,2.66,5.82,2.08,0.89,,,,,,
June,,,,,,,,,2.51,1.13,1.06,1.76,1.68,1.96,1.07,,,,,,
July,,,,,,,,,1.93,1.08,2,3.84,2.17,1.45,1.57,,,,,,
August,,,,,,,,,1.65,0.91,2.96,3.18,1.76,0.28,2.22,,,,,,
September,,,,,,,,,1.67,0.61,3.09,2.21,3.79,3.74,1.91,,,,,,
October,,,,,,,,,5.1,3.49,1.96,0.52,4.45,2.26,1.1,,,,,,
November,,,,,,,,,3.2,8.38,4.43,3.7,1.73,0.68,0.81,,,,,,
December,,,,,,,,,2.74,7.79,3.55,1.02,1.16,0.38,7.9,,,,,,
Total,,,,,,,,,,28.23,29.53,25.91,30.95,24.7,24.76,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is the centre of the Tydehams area, altitudes match.",,,,,,,,,,,,,,,,,,,,,
Gauge moved 400 yards S to this location in 1928. ,,,,,,,,,,,,,,,,,,,,,
"The observer, J H Spackman, lived at Avebury in Tydehams but cannot locate this property.",,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 250m,,,,,,,,,,,,,,,,,,,,,
The annual total for 1934 is in brackets with no explanation and no monthly readings are in brackets. Reading left in this record,,,,,,,,,,,,,,,,,,,,,
