PETERSFIELD-OLD-DITCHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SU761203,Long,-0.91728,Lat,50.97709,Elevation,250,ft,,,,,,,,,,,,
Station no,RR8517,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1,3.59,1.75,4.41,6.54,0.66,,,,,
February,,,,,,,,,,0.49,5.31,2.1,3.72,1.48,6.69,,,,,
March,,,,,,,,,,5.25,1.36,2.66,5.82,3.66,6.14,,,,,
April,,,,,,,,,,1.72,2.68,1.9,0.06,3.73,1.65,,,,,
May,,,,,,,,,,2.31,1.94,2.9,1.21,2.88,1.36,,,,,
June,,,,,,,,,,3.02,3.18,1.92,4.52,0.79,0.24,,,,,
July,,,,,,,,,,2.95,2.98,1,2.73,2.17,3.47,,,,,
August,,,,,,,,,,2.48,4.28,0.51,7.16,1.6,2.63,,,,,
September,,,,,,,,,,3.21,0.16,1.85,4.83,2.71,1.77,,,,,
October,,,,,,,,,,9.41,4.11,5.63,4.22,5.58,2.83,,,,,
November,,,,,,,,,,0.66,4.38,5.44,2.01,3.83,4.45,,,,,
December,,,,,,,,,,5.56,7,11.72,5.18,2.08,11.16,,,,,
Total,,,,,,,,,,38.06,40.97,39.38,45.87,37.05,43.05,,,,,
,,,,,,,,,,,,,,,,,,,,
1907 and 1908 data for a monthly gauge deleted as there was a leak thru most of 1907 and 1908 was overgrown with grass,,,,,,,,,,,,,,,,,,,,
Note says Gauge supposed to be read every day but?,,,,,,,,,,,,,,,,,,,,
