HAMPSTEAD KIDDERPORE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ252859,Long,-0.195379,Lat,51.558097,Elevation,328,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,,,,,,3.23,0.89,5.04,2.16,1.74,0.34,1.43,1.36,2.37,2.16,1.66,3.27,0.97,1.12,0.97,2.51,1.05,0.56,1.82,3.21,1.81,0.88,2.25,1.04,2.47,3.59,0.87,1.05,2.69,3.3
February,,,,,,0.94,1.86,1.92,1.64,3.72,2.16,3.26,1.21,3.44,1.52,3,0.67,0.56,0.66,1.81,0.96,0,1.49,3.36,2.04,0.19,0.36,3.38,1.25,2.29,3.12,1.37,1.71,1.03,3.31
March,,,,,,0.73,3.31,2.7,0.96,1.5,0.48,2.26,1.3,0.6,1.23,1.63,1.09,1.31,3.73,1.43,1.87,0.56,1.09,0.4,1.26,1.44,3.91,3.65,1.15,0.49,0.89,1.87,1.91,2.8,2.11
April,,,,,,1.42,1.55,2.91,4.72,3.2,2.46,0.62,3.33,1.56,1.08,2.45,1,1.36,2.21,2.82,1.76,1.34,1.16,0.13,2.43,1.34,0.45,2.21,1.1,2.71,1.21,2.29,0.49,2.96,1.19
May,,,,,,1.53,0.68,2.19,4.31,3.21,0.34,1.16,1.23,1.81,1.07,2.39,5.08,1.63,1.25,4.48,1.39,2.81,1.63,1.11,1.57,0.39,0.19,1.41,2.76,1.47,1.12,1.23,2.66,3.68,
June,,,,,,2.13,1.35,0.87,3.32,4.67,3.39,1.65,2.51,2.26,2.84,3.35,1,0.97,2.93,2.05,3.06,1.13,3.15,0.75,2.03,0.39,1.61,2.06,1.47,2.42,2.98,1.63,3.73,7.54,0.92
July,,,,,,4.76,0.53,4.18,0.87,4.24,5.23,1.72,2.44,2.31,2.06,0.23,2.87,1.35,5.13,3.01,5,3.81,1.72,1.95,3.16,4.15,1.16,0.61,0.7,1.62,1.49,3.78,1.35,5.15,2.99
August,,,,,,0.88,2.73,3.46,6.44,4.82,0.37,4.2,1.49,1.38,0.99,1.18,0.88,2.18,3.65,1.87,1.36,4.91,3.46,1.35,3,3.61,2.18,2.51,1.16,0.72,3.24,1.81,5.57,4.7,2.36
September,,,,,,2.1,4.2,0.82,0.98,3.16,4.33,2.05,2.78,3.79,1.77,4.72,1.91,2.27,1.71,1.77,0.92,1.03,2.33,1.17,1.45,1.49,6.49,3.32,0.38,2.98,0.99,2.02,1.27,3.99,1.7
October,,,,,,3.54,1.1,2.28,1.99,0.8,5.91,3.04,5.61,1.71,1.08,4.09,2.67,1.54,1.38,4.2,1.32,5.82,4.56,4.57,4.52,3.41,3.15,0.77,3.72,2.62,2.13,2.88,2.72,7.13,1.88
November,,,,,,3.26,3.72,5.36,3.4,0.57,2.02,2.63,2.32,2.98,1.97,3.44,2.62,3.65,4.78,0.92,1.66,2.28,3.56,2.44,2.87,3.66,1.28,1.22,2.14,5.15,2.63,0.69,3.57,2.22,2.14
December,,,,,,0.3,6.68,2.26,1.43,0.82,3.32,2.65,2.25,0.76,2.99,1.16,4.4,1.86,1.2,1.29,0.1,3.71,1.58,2.21,2.46,2.7,4.36,2.62,2.46,1.31,2.87,4.01,2.7,1.67,2.47
Total,,,,,,24.82,28.6,33.99,32.22,32.45,30.35,26.67,27.83,24.97,20.76,29.3,27.46,19.65,29.75,26.62,21.91,28.45,26.29,21.26,30,24.58,26.02,26.01,19.33,26.25,26.26,24.45,28.73,45.56,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on record says 1892 to 1904 may be unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
