CRAGG-WITHENS-CLOUGH-RES-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD982231,Long,-2.0287438,Lat,53.704327,Elevation,968,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.73,4.04,1.71,4.54,4.31,2.61,6.75,4.64,0.58,2.83,7.14,4.48,8.74,2.74,3.42,,,,,,,
February,,,,,,,,,,1.41,4.89,4.31,2.42,1.87,3.85,3.73,6.59,1.14,6.17,4.18,3.3,0.51,3.76,,,,,,,,
March,,,,,,,,,,2.28,1.3,1.84,4.49,4.75,4.83,1.33,3.51,1.74,1.91,3.02,0.98,3.77,3.95,,,,,,,,
April,,,,,,,,,,3.94,3,2.03,0.94,4.53,2.3,2.64,4.71,1.48,2.28,0.95,4.65,1.53,4.85,,,,,,,,
May,,,,,,,,,,2.47,3.31,1.69,2.97,3.51,3.01,2.55,2.75,1.38,3.03,0.84,4.37,2.17,2.13,,,,,,,,
June,,,,,,,,,,2.62,3.47,2.74,6.98,3,2.66,0.92,2.15,1.7,1.77,1.41,3.43,0.7,1.8,,,,,,,,
July,,,,,,,,,,5.08,4.2,1.17,3.01,1.42,5.2,5.18,3.09,1.88,4.6,0.79,7.37,1.93,4.78,,,,,,,,
August,,,,,,,,,,3.67,5.14,2.99,8.69,2.57,2.63,4.55,3.35,5.42,3.63,5.29,2.73,6.46,6.08,,,,,,,,
September,,,,,,,,,,3.09,0.29,3.81,2.51,1.8,3.48,0.99,2.02,2.36,10.18,0.49,1.96,1.94,3.7,,,,,,,,
October,,,,,,,,,,6.68,4.28,2.97,5.45,1.83,2.38,1.9,8.44,7.31,3.7,3.38,1.86,3.23,1,,,,,,,,
November,,,,,,,,,,1.31,5.19,5.01,3.68,4.64,5.59,1.79,4.43,3.74,1.48,2.98,2.53,2.89,4.15,,,,,,,,
December,,,,,,,,,,6.38,4.62,5.43,4.48,3.29,6.67,9.09,2.29,1.28,8.41,5.91,4.33,4.94,3.84,,,,,,,,
Total,,,,,,,,,,41.66,43.73,35.7,50.16,37.52,45.21,41.42,47.97,30.01,49.99,36.38,41.99,38.81,42.78,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on north bank of reservoir as desrcibed on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR could +/- 200m E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
