CRAGG WITHENS CLOUGH RESERVOIR,,,,,,,,,,,,
Grid ref,SD985231,Long,-2.024199,Lat,53.704328,,,,,,,
Station no,RR7669,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.73,,
February,,,,,,,,,,1.41,,
March,,,,,,,,,,2.28,,
April,,,,,,,,,,3.94,,
May,,,,,,,,,,2.47,,
June,,,,,,,,,,2.62,,
July,,,,,,,,,,5.08,,
August,,,,,,,,,,3.67,,
September,,,,,,,,,,3.09,,
October,,,,,,,,,,6.68,,
November,,,,,,,,,,1.31,,
December,,,,,,,,,,6.38,,
Total,,,,,,,,,,41.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
