ILMINSTER-ILTON-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST352174,Long,-2.923886,Lat,50.952373,Elevation,104,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.53,1.42,,1.07,3.76,3.68,2.6,4.33,2.75,0.96,0.68,3.94,2.51,2.01,3.09,3.7,3.79,0.49,2.03,0.55,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,5.1,3.27,3.56,0.99,4.76,3.77,5.05,1.15,0.48,0.89,1.63,1.38,0.01,1.87,4.21,2.53,0.13,0.51,3.46,2.26,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.5,0.84,1.44,1.59,1.34,3.07,0.95,2.57,1.66,3.71,3.2,1.24,2.14,0.83,0.57,1.42,2.99,2.71,4.17,0.96,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.82,1.83,1.38,4.51,1.26,1.96,3.5,2.09,1.24,2,2.98,3.66,0.78,0.88,0.18,1.9,2.26,0.59,2.43,2,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2,1.21,0.7,1.69,1.58,0.88,2.56,3.48,2.2,1.76,2.17,1.52,3.61,0.8,0.86,1.93,0.41,0.06,1.31,4.37,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,7.03,1.48,1.85,3.69,1.98,2.38,1.18,0.61,0.43,3.18,0.61,2.15,1.23,1.79,0.72,2.01,1.22,2,2.15,1.17,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.65,3.55,2.1,4.66,1.99,3.34,0.21,2.82,0.89,6.07,2.67,4.16,3.05,2.11,3.88,3.27,2.26,1.5,0.89,0.29,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,5.17,0.24,3.94,1.65,1.03,0.99,1.08,1.52,1.12,2.36,2.46,2.54,5.37,3.34,1.4,3.35,2.48,1.65,3.85,1.62,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.29,3.8,2.01,3.46,5.96,1.51,4.45,2.07,2.59,1.16,1.28,1.21,1.91,1.81,1.23,2.32,1.09,5.12,3.16,1.33,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.17,4.16,1.37,7.1,3.11,0.51,5.86,5.76,3.09,1.37,3.53,1.1,9.7,4.36,2.86,3.63,3.55,2.22,1.36,4.63,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
