HALTWHISTLE UNTHANK HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY729630,Long,-2.424754,Lat,54.96089,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,3.22,2.33,3.75,6.34,3.48,4.58,0.84,6.2,3.99,0.67,0.96,0.54,2.78,3.94,6.98,1.68,6.2,1.89,1.7,1.29,3.8,1.77,2.22,1.31,3.16,2.43,1.95,1.11,2.36,3.6,4.39,,,,,,,,,
February,,,,,,,,,,5.03,2.38,2.17,2.6,0.61,1.77,1.59,3.85,3.38,2.89,2.52,2.27,3.28,3.53,2.46,2.15,2.32,0.98,1.48,1.12,2.25,1.26,0.22,2.38,4,7.33,0.71,1.72,2.85,3.39,1.97,4.51,,,,,,,,,
March,,,,,,,,,,1.06,1.29,1.63,2.86,1.86,3.82,0.81,5.14,3.43,1.94,2.55,1.04,3.49,3.69,1.17,2.06,2.34,3.15,2.41,3.53,2.62,3.02,2.66,1.25,0.95,2.27,3.41,4.73,5.53,1.51,2.18,0.9,,,,,,,,,
April,,,,,,,,,,1.81,0.83,3.45,2.79,0.68,2.75,1.23,2.65,3.3,2.49,2,2.82,1.65,3.23,1.26,1.52,1.74,2.43,1.54,1.85,2.88,1.35,1.33,1.41,0.78,1.16,1.55,1.93,1.85,3.63,2.77,2.78,,,,,,,,,
May,,,,,,,,,,3.33,1.5,1.27,2.82,1.95,1.95,2.48,1,1.88,4.35,2.28,1.91,2.52,1.55,1.44,3.43,2.45,4.21,1.5,1.29,1.38,1.63,1.31,3.99,2.62,3.29,0.47,0.55,1.67,2.7,2.39,2.26,,,,,,,,,
June,,,,,,,,,,1.49,2.49,2.27,3.52,1.4,1.68,2.29,2.04,2.56,3.52,4.28,3.59,2.92,6.71,3.1,0.6,1.24,2.37,0.36,3.32,0.83,4.27,0.76,3.96,2.32,3.89,1.56,2.35,3.79,2.36,1.06,4.37,,,,,,,,,
July,,,,,,,,,,0.91,1.46,4.63,4.25,1.81,2.48,4.41,1.34,3.77,1.7,4.51,6.48,4.37,4.6,3.53,9.29,1.69,5.68,1.78,4.77,4.28,2.14,4.02,1.87,2.8,2.74,4.77,3.08,1.91,1.56,3.23,1.5,,,,,,,,,
August,,,,,,,,,,1.38,1.35,2.34,4.54,4.61,5.02,1.97,3.26,9.47,6.57,4.54,0.96,5.42,2.96,4.14,1.28,2.98,1.24,2.56,2.76,5.19,6.54,5.48,4.89,3.25,5.04,4.8,2.31,3.82,4.45,0.5,5.92,,,,,,,,,
September,,,,,,,,,,5.72,2.32,4.4,4.87,2.56,3.96,3.79,2.83,1.78,3.57,1.53,4.98,4.33,1.74,5.46,2.44,2.59,4.57,5.08,1.16,1.82,2.46,4.69,5.2,3.07,0.83,0.99,4.58,5,0.9,4.13,2.15,,,,,,,,,
October,,,,,,,,,,2.61,5.14,2.78,5.47,4.02,4.77,2.86,2.99,4.37,3.01,1.77,3.62,5.81,3.87,3.71,1.87,3.77,4.61,2.24,2.16,3.8,2.25,2.32,4.84,2.74,3.21,3.96,4.71,1.72,6.72,3.12,4.94,,,,,,,,,
November,,,,,,,,,,5.59,1.8,1.81,4.77,2.44,4.73,5.52,3.19,5.03,3.53,1.78,4.21,3.87,4.86,3.59,1.72,1.69,4.64,3.89,6.1,1.21,5.01,2.19,1.59,2.61,2.22,3.24,1.08,2.67,3.4,3.52,5.24,,,,,,,,,
December,,,,,,,,,,4.27,3.12,3.93,4.05,1.89,3.13,2.55,7.28,2.63,2.59,2.33,5.25,4.3,3.67,3.39,5.08,1.65,5.37,3.36,1.16,2.14,0.7,6.08,1.58,3.02,2.87,3.44,3.84,4.16,4.58,2.71,4.64,,,,,,,,,
Total,,,,,,,,,,,26.9,33.01,46.29,30.17,39.54,34.08,36.41,47.8,40.15,30.76,38.09,42.5,43.19,37.19,38.42,26.14,45.45,28.09,30.92,29.69,34.43,32.83,35.18,29.47,38.01,31.33,32.83,36.08,37.56,31.18,43.6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt2-page-043.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_09_pt2-page-007.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt4-page-004.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_18_pt1-page-107.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_23_pt1-page-102.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
