CERNE-ABBAS-LONG-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,ST665011,Long,-2.47651,Lat,50.80855,Elevation,375,ft,,,,,,,,,,,,
Station no,1605/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.78,7.73,7.15,5.17,7.76,3.22,5.6,5.76,9.01,3.8,3.3,4.9,4.87,8.39,1.17,
February,,,,,4.08,4.06,8.13,1.28,2.77,5.79,6.08,0.31,1.84,0.66,3.54,3.1,2.44,1.21,2.13,
March,,,,,1.58,5.39,6.2,0.3,1.73,3.74,4.06,3.76,1.11,0.49,1.67,1.68,10.75,1.69,,
April,,,,,5.47,2.61,3.19,0.23,2.76,2.49,2.85,2.44,1.18,2.27,0.86,3.04,3.63,2.49,,
May,,,,,1.87,0.5,4.05,2.48,0.86,2.31,2.42,5.24,4.31,0.7,3.39,4.1,2.27,3.96,,
June,,,,,4.76,2.7,0.86,1.5,3.27,0.47,2.98,0.66,1.56,3.08,3.91,5.07,2.06,2.43,,
July,,,,,0.91,6.61,3.8,3.84,6.91,4.61,2.64,1.94,3.39,3.88,1.82,1.07,2.42,1.42,,
August,,,,,2.85,0.3,1.31,2.66,3.23,0.06,4.48,5.71,3.23,2.82,2.51,5.86,1.25,5.09,,
September,,,,,4.87,3.03,3.05,2.56,1.56,2.53,1.16,2.99,2.9,2.41,3.85,6.22,1.93,3.55,,
October,,,,,7.25,2.03,5.83,5.41,7.09,7.25,1.81,4.58,6.29,5.94,5.09,1.6,1.18,3.87,,
November,,,,,9.53,3.92,2.65,7.88,9.25,11.22,3.19,1.97,3.55,8.84,1.62,10.11,2.63,2.53,,
December,,,,,6.84,5.88,6.48,5.44,3.49,4.26,3.64,7.76,4.09,4.02,5.84,6.41,4.18,7.39,,
Total,,,,,50.79,44.76,52.7,38.75,50.68,47.95,40.91,43.12,42.46,38.91,37.4,53.16,39.61,44.02,,
,,,,,,,,,,,,,,,,,,,,
1949 Moved to Twyford Winchester,,,,,,,,,,,,,,,,,,,,
