PETERBOROUGH (FARCET),,,,,,,,,,,,
Grid ref,TL201944,Long,-0.230816,Lat,52.534232,,,,,,,
Station no,1157/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,1.23,0.91,0.85,2.15,,,,,,,
February,2.65,0.42,1.81,1.84,2.63,,,,,,,
March,2.98,2.77,0.74,2.23,1.70,,,,,,,
April,2.85,1.43,1.81,0.25,0.52,,,,,,,
May,3.20,2.08,1.51,3.20,2.96,,,,,,,
June,1.28,1.05,2.34,1.96,2.28,,,,,,,
July,0.76,0.33,2.40,1.60,0.33,,,,,,,
August,4.15,2.55,2.27,5.29,1.20,,,,,,,
September,2.02,2.18,0.74,1.56,1.54,,,,,,,
October,0.88,2.51,1.82,1.81,1.87,,,,,,,
November,3.20,2.56,1.43,4.27,0.92,,,,,,,
December,1.47,1.72,0.54,2.31,1.44,,,,,,,
Total,27.86,20.83,18.32,27.17,19.54,,,,,,,
Calc annual,27.86,20.83,18.32,27.17,19.54,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
