PETERBOROUGH-FARCET,,,,,,,,,,,,,,,,,,,,
Grid ref,TL200944,Long,-0.23228939,Lat,52.534254,Elevation,60,ft,,,,,,,,,,,,
Station no,1157/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.96,1.02,0.9,2.42,1.23,0.91,0.85,2.15,,,,,
February,,,,,,,,0.59,0.73,3.12,2.65,0.42,1.81,1.84,2.63,,,,,
March,,,,,,,,0.52,0.89,0.72,2.98,2.77,0.74,2.23,1.7,,,,,
April,,,,,,,,1.14,1.41,1.91,2.85,1.43,,0.25,0.52,,,,,
May,,,,,,,,3.56,2.04,3.92,3.2,2.08,1.51,3.2,2.96,,,,,
June,,,,,,,,2.9,0.83,1.31,1.28,1.05,,1.96,2.28,,,,,
July,,,,,,,,1.28,2.68,2.67,0.76,0.33,2.4,1.6,0.33,,,,,
August,,,,,,,,2.46,0.87,1.56,4.15,2.55,2.27,5.29,1.2,,,,,
September,,,,,,,,1.99,0.5,2.78,2.02,2.18,,1.56,1.54,,,,,
October,,,,,,,,3.06,3.63,0.52,0.88,2.51,,1.81,1.87,,,,,
November,,,,,,,,1.34,2.26,3.41,3.2,2.56,1.43,4.27,0.92,,,,,
December,,,,,,,,1.83,1.39,1.19,1.47,1.72,0.54,2.31,1.44,,,,,
Total,,,,,,,,23.63,18.25,24.01,27.86,20.83,,27.17,19.54,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1953 Apr Jun Sep Oct estimated,,,,,,,,,,,,,,,,,,,,
