NORTHAM-FAIRLEA,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS444286,Long,-4.22016,Lat,51.03603,Elevation,200,ft,,,,,,,,,,,,,
Station no,RR7435,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.17,3.2,5.15,1.59,3.55,,1.22,4.93,3.83,4.5,4.18,3.53,2.15,3.75,3.4,5.11,,,,
February,,1.7,2.15,1.46,3.79,5.67,,1.04,1.94,3.1,1.34,0.32,4.04,6.93,0.66,5.72,2.08,,,,
March,,1.93,5.46,4.92,5.43,0.67,,2.2,1.4,4.11,3.54,2.38,3.58,1.35,1.83,0.83,0.53,,,,
April,1.99,2.02,0.08,4.64,1.77,1.09,,2.16,1.48,2.35,4.18,0.69,3.87,1.88,2.79,2.19,1.63,,,,
May,1.77,1.05,1.5,2.7,1.26,3.45,,1.78,0.97,0.97,1.93,1.34,1.29,1.9,2.72,3.88,1.3,,,,
June,2.45,2.66,5.98,1.44,1.84,1.17,,4.99,0.99,1.35,1.8,0.27,1.19,0.88,1.44,0,1.48,,,,
July,2.77,0.37,2.61,0.39,4.23,4.26,,2.54,4.25,0.97,3.96,1.4,2.31,2.71,4.63,3.6,1.85,,,,
August,4.22,2.51,7.67,1.14,3.89,1.53,,4.9,2.62,2.09,1.84,2.85,3.97,2.41,3.69,2.87,2.2,,,,
September,0.09,2.82,0.68,1.73,2.39,1.21,,2.2,8.09,1.57,3.39,2.2,2.82,3.52,4.18,3.86,1.56,,,,
October,5.1,3.45,4.68,3.78,2.77,4.26,,6.92,2.02,1.24,5.36,1.51,1.49,6.47,4.81,3.68,3.12,,,,
November,5.44,4.65,2.86,4.98,4.04,2.31,,2.56,3.79,4.23,2.02,3.18,1.79,4.84,2.99,3.35,7.58,,,,
December,5.05,7.22,5.71,3.08,6.56,7.32,,0.85,4.87,6.4,3.49,2.37,6.01,3.94,5.41,3.78,0.69,,,,
Total,,31.55,42.58,35.41,39.56,36.49,,33.36,37.35,32.21,37.35,22.69,35.89,38.98,38.9,37.16,29.13,,,,
,,,,,,,,,,,,,,,,,,,,,
No note as to why 1916 blank,,,,,,,,,,,,,,,,,,,,,
