WHITBY - ROYAL CRESCENT,,,,,,,,,,,,,,,,,
Grid ref,NZ896114,Long,-0.618,Lat,54.490,Elevation,150,ft,,,,,,,,,
Station no,RR3125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,1.12,1.16,1.37,1.20,1.64,2.13,1.62,4.40,0.85,1.87,0.51,1.93,2.09,2.15,2.05,2.15,2.00
February,1.62,2.26,1.84,0.01,1.91,3.46,1.92,1.05,0.43,1.75,1.02,1.18,5.54,2.56,0.55,0.85,2.52
March,3.86,2.80,2.43,3.09,1.37,0.08,0.70,2.10,2.08,3.81,2.08,2.49,1.31,2.71,1.36,1.94,1.42
April,1.83,2.98,0.82,2.26,1.18,0.67,1.21,1.35,0.42,1.24,2.66,1.88,1.03,1.26,0.75,2.73,1.36
May,0.81,2.76,2.47,1.79,3.40,1.04,1.98,0.70,0.79,0.90,3.88,2.81,1.35,1.45,2.07,1.98,
June,2.98,0.35,2.75,0.22,4.41,2.02,3.47,1.19,1.78,2.47,1.46,1.15,2.52,0.37,2.79,3.30,
July,4.90,2.00,1.95,3.14,1.12,2.90,2.26,4.74,0.93,1.02,0.57,0.94,0.77,4.26,1.88,2.56,
August,2.49,3.85,3.07,2.50,2.77,1.33,2.51,3.85,2.17,2.52,1.74,1.22,5.66,1.52,1.98,1.38,
September,2.28,1.45,1.36,1.67,1.95,1.86,1.31,1.31,3.24,3.29,0.05,2.17,0.60,0.76,0.61,2.83,
October,1.19,5.45,3.08,3.04,5.50,1.69,4.29,4.85,3.35,1.07,3.99,3.23,3.61,1.29,2.47,6.05,
November,3.76,1.82,3.16,2.55,1.28,4.16,1.14,2.61,1.25,2.08,3.61,1.37,2.81,3.98,1.95,2.92,
December,1.72,1.48,1.52,2.71,0.97,2.53,2.02,2.07,2.76,2.53,2.10,4.08,1.95,3.73,2.03,1.05,
Total,28.56,28.36,25.82,24.18,27.50,23.87,24.43,30.22,20.05,24.55,23.67,24.45,29.24,26.04,20.49,29.74,
,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/055,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/201,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/072,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# The observer, Mr Newbitt lived at 19 Royal Crescent.",,,,,,,,,,,,,,,,,
"# The gauge moved, most likely to Chubb Hill Gardens, in 1909.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
"# The readings for April-December 1904, 1905, 1906 and 1907 are estimates and have been omitted.",,,,,,,,,,,,,,,,,
# The sheet is shared with the Chubb Hill Gardens site - the readings for 1908 and 1909 are for Chubb Hill Gardens.,,,,,,,,,,,,,,,,,
