"WHITBY  CRESCENT AVENUE",,,,,,,,,,,,
Grid ref,NZ895113,Long,-0.619881,Lat,54.489153,,,,,,,
Station no,RR3125,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.09,2.15,2.05,2.15,2.00,0.40,1.70,0.80,1.36,0.89,,
February,5.54,2.56,0.55,0.85,2.52,1.20,1.80,1.15,1.50,0.97,,
March,1.31,2.71,1.36,1.94,1.42,1.35,1.55,0.65,2.11,3.73,,
April,1.03,1.26,0.75,2.73,1.36,2.20,0.60,1.85,1.87,1.77,,
May,1.35,1.45,2.07,1.98,2.40,0.95,3.85,4.09,2.29,1.39,,
June,2.52,0.37,2.79,3.30,0.90,1.05,0.80,2.10,0.86,2.24,,
July,0.77,4.26,1.88,2.56,1.75,0.75,1.75,1.35,1.32,2.20,,
August,5.66,1.52,1.98,1.38,3.15,2.10,2.35,2.25,2.02,5.27,,
September,0.60,0.76,0.61,2.83,0.90,1.85,0.65,0.50,1.83,1.44,,
October,3.61,1.29,2.47,6.05,0.45,4.20,3.40,5.10,0.91,1.71,,
November,2.81,3.98,1.95,2.92,2.15,4.45,2.55,2.10,1.50,0.91,,
December,1.95,3.73,2.03,1.05,2.00,0.50,2.00,3.15,2.09,2.97,,
Total,29.24,26.04,20.49,29.74,21.00,21.00,23.00,25.00,19.66,25.49,,
Calc annual,29.24,26.04,20.49,29.74,21.00,21.00,23.00,25.09,19.66,25.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,-0.00,,
