EVANTON NOVAR GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,NH613680,Long,-4.327687,Lat,57.680404,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2971,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.16,3.77,5.09,3.63,3.75,4.34,4.61,1.87,1.81,,,,,,,
February,,,,,4.39,4.91,5.16,2.91,5.83,1.59,1.74,4.77,2.14,,,,,,,
March,,,,,1.32,4.01,3.35,2.87,4.34,4.01,1.69,2.94,3.18,,,,,,,
April,,,,,4.88,2.59,2.82,2.51,1.92,3.39,5.16,2.69,2.71,,,,,,,
May,,,,,2.49,2.1,5.38,2.95,2.62,3.02,2.92,1.97,2.63,,,,,,,
June,,,,,1.77,0.96,0.68,5.44,1.88,2.69,1.83,2.1,3.89,,,,,,,
July,,,,,1.19,1.99,3.01,1.89,1.71,2.69,4.66,2.02,2.14,,,,,,,
August,,,,,3.67,3.63,5.3,3.77,2.36,1.61,4.62,1.49,4.96,,,,,,,
September,,,,,3.31,2.95,2,1.18,7.28,2.3,1,2.1,1.99,,,,,,,
October,,,,,2.28,3.87,4.93,2.75,1.15,5.91,1.56,3.32,3.38,,,,,,,
November,,,,,4.13,4.74,5.83,3.03,3.67,2.9,5.23,6.2,5.23,,,,,,,
December,,,,,3.9,2.44,4.03,3.73,3.14,2.51,3.42,2.68,5.23,,,,,,,
Total,,,,,35.49,37.96,47.58,36.66,39.65,36.96,38.44,34.15,39.29,,,,,,,
