UBLEY-ROOKERY-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST518579,Long,-2.693017,Lat,51.318154,Elevation,525,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.59,4.66,7.83,1.83,5.61,4.39,1.52,3.85,6.54,6.11,5.42,4.86,2.68,5.02,4.34,6.76,5.01,9.66,1.99,6.58,3.39,5.57,3.61,3.9,0.88,4.91,6.01,6.23,5.72,2.76,4.15,5.45,7.14,3.55,2.82,4.34,3.41,9.56,1.37,1.16,4.52,4.79,1.05,2.99,4.51,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.22,4.47,1.44,5.18,6.34,7.62,1.59,3.43,3.45,1.78,0.38,6.14,10.06,0.51,6.68,2.96,4.5,4.26,1.78,0.76,3.25,0,5.31,0.5,3.9,3,7.15,1.73,2.75,3.29,3.99,0.2,2.37,1.13,3.87,4.02,1.27,3,2.55,8.65,6.22,0.68,2.42,4.26,3.11,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.99,3.77,6.68,5.33,6.86,1.54,4.16,3.45,1.63,5.92,3.47,3.33,3.25,2.12,2.26,0.41,1.45,5.03,4.16,0.29,2.67,0.89,3.09,4.77,2.86,1.15,3.85,3.63,0.35,1.73,3.48,3.96,2.52,1.38,0.45,1.57,1.35,7.05,2.48,1.74,1.98,4.9,5.14,1.16,4.12,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3.33,4.05,0.45,4.95,2.53,1.99,2.73,3.42,3.35,2.94,6.44,1.53,3.82,2.96,4.78,3.07,2.88,2.1,1.93,0.82,2.83,2.61,4.37,1.62,3.31,5.02,2.4,3.67,0.3,4.22,2.44,1.42,1.4,1.43,3.64,1.2,3.38,3.1,2.16,2.4,3.42,5.2,2.31,3.98,0.71,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.67,1.2,2.53,4.34,2.46,3.22,3.94,2.18,1.89,0.85,2.94,2.45,1.36,2.05,5.44,5.63,3.36,1.49,0.66,2.97,2.24,4.04,5.9,2.08,2.01,1.36,1.61,2.83,2.64,1.55,3.11,1.54,5.89,3.49,1.66,3.78,4.52,3.11,4.31,4.53,2.55,3.16,4.44,2.52,3.69,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,5.62,3.05,5.94,2.43,2.18,0.86,3.53,4.08,1.48,1.44,5.84,0.17,2.22,0.71,3.6,0.03,2.56,4.64,2.61,2.02,1.01,3.86,2.25,2.1,3.43,3.62,2.23,1.33,1.53,3.17,0.81,2.19,0.33,2.2,3.59,4.93,4.44,2.63,2.58,0.65,2.28,1.05,3.9,2.81,5.53,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.93,1.81,3.73,0.85,5.1,5.96,1.81,3.28,6.79,2.51,7.82,0.97,5.82,2.46,5.18,5.05,3.16,6.11,4.01,2.1,3.46,6.54,4.28,2.62,1.79,0.84,6.74,4.44,4.09,5.59,6.75,2.05,3.24,2.79,3.23,1.94,1.96,3.2,1.95,1.29,7.13,2.09,1.23,4.31,4.36,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,8.91,3.72,10.46,1.89,3.88,3.16,6.27,10.64,3.09,3.62,1.82,2.67,5.15,4.95,5.84,5.62,3.98,6.54,4.51,5.78,8.98,5.43,1.45,2.19,5.02,2.04,0.79,1.35,4.97,3.59,0.25,7.04,5.78,6.35,3.17,2.99,5.78,1.14,6.25,4.02,7.36,7.83,6.1,4.52,3.55,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.34,2.15,0.95,3.73,2.47,2.31,2.57,4.3,11.49,2.32,2.13,2.72,3.82,4.19,4.45,4.5,2.85,7.79,1.69,0.56,5.47,2.18,8.1,2.58,3.55,8.88,4.14,2.67,4.35,1.21,2.32,0.47,2.36,3.56,3.85,3.35,6.27,2.52,3.39,2.21,7.81,3.72,4.34,4.11,7.2,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,7.32,4.17,6.71,3.13,3.27,4.97,8.66,10.05,2.65,2.71,3.94,1.46,1.48,6,7.02,4.73,6.34,4,8.31,7.74,4.68,1.48,7.89,3.33,3.65,6.1,2.82,4.44,9.07,3.8,5.08,2.29,5.95,3.76,5.82,4.82,1.51,0.88,5.78,7.27,2.28,1.05,5.52,2.92,5.25,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
