STANSTED-HARGRAVE-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL509254,Long,0.19218752,Lat,51.906704,Elevation,300,ft,,,,,,,,,,,,,
Station no,1243,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.5,1.48,2.72,1.43,4.03,1.56,2.18,1.85,1.15,,,,,,,,
February,,,,,0.94,3.22,2.96,4.09,1.51,0.54,0.59,2.28,0.29,,,,,,,,
March,,,,,1.02,1,0.14,2,2.67,0.03,2.13,0.07,1.8,,,,,,,,
April,,,,,3.35,1.82,3.41,1.9,1.16,1.92,2.44,4.29,2.13,,,,,,,,
May,,,,,3.99,2.35,1.27,0.77,1.92,1.62,2.85,3.04,4.8,,,,,,,,
June,,,,,2.96,0.54,3.03,3.18,2.4,0.46,1.23,2.17,0.81,,,,,,,,
July,,,,,3.94,4.29,2.51,2.55,2.41,2.2,2.34,5.87,2.76,,,,,,,,
August,,,,,2.17,2.51,1.72,3.09,2.26,1.12,2.55,4.23,2.28,,,,,,,,
September,,,,,3.41,3.03,2.17,4.94,1.13,0.53,4.2,1.81,1.65,,,,,,,,
October,,,,,4.39,3.71,2.21,2.61,3.36,3.95,1.5,0.69,5.11,,,,,,,,
November,,,,,3.11,1.74,4.93,2.79,2.4,5.1,3.58,2.47,1.81,,,,,,,,
December,,,,,2.53,1.85,0.25,2.91,2.62,4.93,2.83,0.45,0.58,,,,,,,,
Total,,,,,35.31,27.54,27.32,32.26,27.87,23.96,28.42,29.22,25.17,,,,,,,,
