KIRRIEMUIR LINSTRATHEN CREICH HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO269595,Long,-3.1948,Lat,56.7217,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.55,2.25,1.55,0.75,2.5,4.8,3.4,2.65,2.9,3.05,4.75,1.85,5,1.9,2.05,2.05,5.15,3.05,1.3,1.1,1.9,2.2,2.5,1.7,2,3.5,2.8,1,3,2.2,1.5,1.8,2.2,0.9,3.2,4.2,1.4,3.1,3.5,1.5,1.7,2.4,2.5,1.6,4.2,2.4,2.4,2.9,7.1,2.3,5.9,1.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.3,4.1,3.6,3.65,3,6.3,3.15,4.45,3,2.25,0.55,1.85,1.35,0.2,1.85,3.35,6.15,0.85,1.1,1.6,1.6,3.2,1.2,2.5,1,4,4,1.8,1,2.3,1.3,0.5,3.2,2.3,4.2,1.2,2.7,3.3,2.4,0.9,2.2,1,1.3,0.7,2.6,10.4,1.9,3.2,6,2.1,1.2,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.35,2.9,2.3,3.3,3.1,3.05,3.95,2.25,6,0.75,2.7,1.35,1.6,2.3,0.6,0.65,3,3.15,1.7,4.8,0.6,1.3,0.5,1.5,1.5,5.1,1.5,3.3,0.9,1.3,3.5,4.1,2.2,1,3.5,3,5,1.2,1.4,1,0.9,0.9,3.2,1.9,1.8,1.9,0.3,0.37,0.9,3.4,5.3,1.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2,2.4,2.3,1,3.3,1.45,1.75,2.45,1,2.3,1.55,4.05,1.45,1.85,0.65,1.25,1.75,1.95,1,2.3,5.2,3,1.7,2.6,2,1.8,3,2.2,1.4,2.3,1,3.5,1.9,2,0.1,2.6,1.2,1.3,1.8,0.9,1.5,1.1,1.8,0.7,1.5,3.1,1.9,3.4,2.5,1.4,1.4,0.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3,1.7,0.7,1.85,2.45,2,2,4.6,3.6,0.45,3.05,3,2.35,2.2,3.15,1.1,3.55,0.75,1,1.6,0.5,2.5,3,3,1.3,1.6,2.8,2.7,5,4.4,1.5,3.3,1.1,2.2,1.5,7.4,1.6,2.1,2.5,1.6,2.7,2,3.7,2.7,1.7,1.4,4.5,4.5,2.7,2.4,0.9,2.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.6,3.85,2.55,3.3,3.65,2.95,0.65,1.45,1,0,3.4,0.85,3.65,0.75,3.65,2.05,3.2,2.65,3.1,3.6,1.5,1.4,3.6,1,2.9,2.8,1.9,2.1,0.6,4.3,1.5,0.8,2.3,2.6,3.8,2.6,1.2,1,2.3,2.7,1.2,1.4,1.7,0.5,1.3,0.9,1.5,0.18,3.4,3.3,2.4,1.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.65,2.9,4.1,3.4,5.75,5.95,6.45,1.45,3.95,3.15,4.15,2.2,3.75,3.65,2.3,3.15,3.04,4.7,3.5,1.6,1.1,2.2,2.4,1.5,3,2.9,2.5,1.5,2.1,2.2,1.5,2.7,2.5,2.4,3.2,2.4,1.8,2.1,5,0.8,5.6,1,2.3,3.2,2.7,2,4.9,2.5,1.7,4,0.7,3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.65,4.4,1.2,3,2.15,3.85,2.9,3,1.4,3,2.6,6.9,2.6,5.15,4,4.05,6.2,6.05,2.2,4.7,2.5,0.8,4,4.3,4.3,2.3,4.4,3.5,4,3.6,2.4,1.4,9,1.2,3.4,1.2,3.1,2.6,4.1,6.8,3.9,1.3,3.2,4.1,1.9,4.7,4.1,2.5,3,5.7,6.85,4.5,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,4.05,2.9,2.85,4.55,2.6,2.85,2.8,4.85,4.2,2.25,0.8,1.05,3.5,4.05,3,1.75,0.45,1.7,4,1.7,3,2.8,3,2.4,2.9,2.9,2.7,1.4,1.4,1.2,4.4,1,0.7,1,3.6,2.7,0.9,1.6,1.7,3.1,3.3,1.1,2.2,1.1,2.2,3.6,3.6,2.4,3.1,3.5,3.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.15,1.25,0.8,5,5.8,2.45,3.55,2.55,3.8,1.15,3.5,3.25,2.2,4.05,5.35,3.05,4.45,2.1,1.9,1.9,4.2,2.8,3.6,3,2.4,6.5,1.9,2,3.5,4.5,5.5,5.1,0.5,2.1,3.8,2.8,4,6.1,5.6,2.4,3.5,0.8,4.4,2.1,0.7,3.6,4,4.3,4.5,6.1,5.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
