"KIRRIEMUIR LINTRATHEN CREICH HILL S",,,,,,,,,,,,
Grid ref,NO267591,Long,-3.199190,Lat,56.717803,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.10,,
February,,,,,,,,,,0.50,,
March,,,,,,,,,,4.20,,
April,,,,,,,,,,4.00,,
May,,,,,,,,,,3.40,,
June,,,,,,,,,,1.00,,
July,,,,,,,,,,2.60,,
August,,,,,,,,,,1.30,,
September,,,,,,,,,,1.20,,
October,,,,,,,,,,5.50,,
November,,,,,,,,,,0.50,,
December,,,,,,,,,,1.70,,
Total,,,,,,,,,,27.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
