"KIRRIEMUIR LINTRATHEN",,,,,,,,,,,,
Grid ref,NO273541,Long,-3.187974,Lat,56.672989,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.30,3.00,2.20,5.40,3.30,0.90,3.30,2.00,2.10,3.90,,
February,3.30,1.80,1.40,4.70,4.30,1.10,1.40,2.20,1.80,0.60,,
March,1.30,2.10,1.10,6.00,2.50,4.40,1.60,1.80,4.20,4.50,,
April,2.20,3.30,2.30,2.20,3.40,2.50,1.00,2.80,0.90,3.60,,
May,4.10,2.40,2.00,1.80,3.00,2.20,4.60,4.20,2.00,3.00,,
June,3.00,1.60,1.90,3.30,1.70,1.60,0.80,5.10,1.80,1.90,,
July,3.40,2.30,2.80,5.30,2.50,1.80,1.10,2.50,2.30,2.60,,
August,3.20,4.60,4.00,6.30,5.00,4.40,4.30,3.80,2.20,1.50,,
September,2.90,2.60,2.20,2.60,2.70,1.30,1.30,1.00,4.70,1.30,,
October,3.90,2.70,2.30,6.70,1.90,2.20,4.60,4.30,5.20,5.40,,
November,4.50,1.40,5.30,1.40,1.00,6.30,4.40,2.40,2.70,0.60,,
December,4.60,2.70,5.50,4.10,3.20,1.90,1.50,4.30,2.50,2.80,,
Total,40.70,30.50,33.00,49.80,34.50,30.60,29.90,36.40,32.40,31.70,,
Calc annual,40.70,30.50,33.00,49.80,34.50,30.60,29.90,36.40,32.40,31.70,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
