"KIRRIEMUIR (LINTRATHEN)",,,,,,,,,,,,
Grid ref,NO273541,Long,-3.187974,Lat,56.672989,,,,,,,
Station no,5576,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.97,2.68,0.69,2.02,1.98,3.60,4.55,3.50,1.57,4.16,,
February,3.24,0.81,1.05,3.36,1.43,1.20,3.76,2.19,0.54,4.08,,
March,1.72,3.70,0.43,2.61,1.90,2.39,3.43,3.67,2.52,2.91,,
April,1.95,1.44,2.03,0.99,1.29,0.72,1.14,0.96,3.60,3.28,,
May,1.74,4.70,1.88,4.57,2.33,0.94,2.16,2.99,0.85,2.84,,
June,2.66,2.32,2.19,1.82,2.27,3.63,1.34,3.52,2.70,2.46,,
July,3.08,3.66,4.93,3.06,0.68,4.42,5.22,3.79,3.74,4.15,,
August,4.68,2.64,2.49,2.93,0.68,6.38,4.54,3.86,1.16,6.57,,
September,1.99,0.67,2.83,4.03,1.67,4.86,2.25,3.49,0.88,2.16,,
October,0.74,3.13,1.67,6.13,2.15,2.20,2.06,2.76,2.86,6.29,,
November,10.50,1.94,3.08,6.67,2.02,1.05,1.49,1.07,5.49,4.85,,
December,3.45,2.16,4.26,4.08,6.32,5.26,5.26,4.72,6.89,2.76,,
Total,39.72,29.85,27.53,42.27,24.72,36.65,37.20,36.52,32.80,46.51,,
Calc annual,39.72,29.85,27.53,42.27,24.72,36.65,37.20,36.52,32.80,46.51,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
