KIRRIEMUIR LINTRATHEN CREICH HILL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO270588,Long,-3.1936,Lat,56.7159,Elevation,1482,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.1,1.8,0.9,3.1,4.1,1.8,3.6,3.3,2,1.7,2.4,2.6,2.9,5.5,2.6,2.7,2.9,5.2,3,7.4,2.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.5,2,1.5,4.1,1.3,2.8,5,2.6,1.3,3,1.5,2.2,0.6,2.5,8.9,1.5,3.6,5,2,2.6,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,4.2,2.5,0.6,2.6,3.4,4.2,1.8,1.8,1.3,1.5,1.6,4.4,2.2,1.7,1.5,0.3,1.1,1.1,2.8,4.7,2.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,4,2.2,2.2,0.1,2.5,1.3,1.4,1.6,0.7,1.6,1.4,1.5,0.5,1.6,2.8,1.8,3.25,2.6,1.7,1.2,0.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.4,1,1.8,1.4,6.1,1.8,2.1,2.3,1.1,2.3,1.4,3.8,2.6,1.9,1.5,4.5,5.4,2.9,2.4,0.9,2.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1,1.8,3.1,3.9,2.5,1.2,1.4,2.5,2,1.3,1.5,1.3,0.5,1.1,0.8,1.4,0.36,3,3.2,2.5,1.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.6,3.2,2.4,3.5,2,1.9,3.1,4.2,1.3,5.9,0.9,3,2.8,2.8,2.1,5.8,2.5,2.1,4,1.5,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.3,9.6,1.2,3.2,1.8,3.5,3,3.7,6.5,3.4,1.5,3.1,4.5,2,4.8,4,3.2,2.5,5.5,6.1,4.6,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.2,1,0.9,3.2,3,1.3,2,1.5,2.9,4.2,1,2.9,1.1,2.5,3.7,3.7,2.6,4.1,3.9,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.5,0.3,2.2,3.5,2.4,2.9,5.1,5.5,2.7,4,0.9,4,2.5,0.5,4,4.4,3.3,4.4,5.1,5.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,0.5,2,3,2,3,3.8,2.3,3.9,2.8,2.7,1.3,3.1,3.6,1.6,2.2,2.3,0.9,5.8,3.2,4.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,1.7,5.2,6.3,3.2,1.5,4.7,6,3.7,1.5,2.9,5.3,3.5,1.4,2.1,3.4,7,2.1,0.75,3,2.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,27,32.6,26.1,33.8,33.6,31.2,36.8,36.6,26.1,34.5,20.7,35.4,25.2,25.8,38.3,39.4,31.21,39.45,39.8,42.7,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
