"KIRRIEMUIR LINTRATHEN",,,,,,,,,,,,
Grid ref,NO281554,Long,-3.175285,Lat,56.684789,,,,,,,
Station no,5577,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.06,3.12,1.40,4.46,3.07,0.91,3.65,1.84,2.20,3.58,,
February,3.41,2.06,1.52,4.75,4.03,1.52,1.58,2.33,1.61,0.58,,
March,1.27,2.32,1.38,5.68,2.06,4.71,1.43,1.44,4.52,5.31,,
April,2.06,3.42,2.27,1.72,3.41,2.66,1.07,3.01,0.68,3.67,,
May,4.30,2.57,1.77,1.50,2.77,2.46,5.08,3.89,2.21,3.07,,
June,2.57,1.74,1.29,3.09,1.11,1.70,0.76,6.18,1.87,2.02,,
July,3.69,2.46,2.96,5.15,2.05,1.75,0.73,2.60,2.31,2.60,,
August,3.15,4.69,3.72,4.49,5.28,4.45,5.32,3.68,2.39,1.20,,
September,3.15,2.65,2.02,3.96,2.66,1.48,1.40,1.31,5.47,1.24,,
October,2.93,3.12,2.09,6.77,1.63,1.80,4.59,4.62,5.32,5.42,,
November,5.37,1.29,5.07,1.08,0.71,7.10,4.73,2.46,2.76,0.58,,
December,5.22,3.56,5.58,3.90,3.17,2.27,1.84,4.53,2.79,3.13,,
Total,41.18,33.00,31.07,46.55,31.95,32.81,32.18,37.89,34.13,32.40,,
Calc annual,41.18,33.00,31.07,46.55,31.95,32.81,32.18,37.89,34.13,32.40,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
