KIRRIEMUIR LINTRATHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO273541,Long,-3.1876,Lat,56.673,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,5.95,2.4,2.5,1.67,0.66,2.48,5.08,4.06,2.62,2.77,2.82,4.65,1.9,4.63,2.16,2.39,1.87,4.83,3.33,1.4,1.8,1.4,4.5,4.06,3.12,1.4,4.46,3.07,0.91,3.65,1.84,2.2,3.58,3.47,1.04,5.49,7.3,1.87,2.88,3.06,1.33,2.25,2.79,3.46,3.2,5.23,2.98,2.9,2.8,6.37,3.23,7.32,1.86,3.67,4.44,3.99,2.32,3.21,1.19,3.95,6,5.26,2.77,2.59,2.21,5.05,5.44,2.56,2.73,3.05,4.1,5.56,2.19,2.64,3.97,2.68,0.69,2.02,1.98,3.6,4.55,3.5,1.57,4.16,,,,,,,,
February,,,,,,,,2.48,1.32,4.09,3.96,4.75,2.68,5.7,3.54,4.72,2.02,2.07,0.57,2,1.53,0.33,2.26,3.34,5.76,0.9,1.2,1.8,1.5,4.1,3.41,2.06,1.52,4.75,4.03,1.52,1.58,2.33,1.61,0.58,3.18,1.96,3.81,1.71,3.91,5.98,3.41,0.92,2.94,1.18,3.13,0.66,3.78,8.92,1.44,4.79,5.48,1.57,1.83,3.26,1.23,2.22,0.23,3.16,0.19,2.66,2.64,3.36,1.6,4.02,2.6,4.76,1.7,2.26,1,3.4,1.69,3.12,3.49,2.6,3.11,3.24,0.81,1.05,3.36,1.43,1.2,3.76,2.19,0.54,4.08,,,,,,,,
March,,,,,,,,1.5,1.47,2.83,2.13,3.45,3.36,3.12,3.92,0.67,6.15,1.06,3.25,1.49,1.95,2.28,0.63,1.07,2.01,2.32,2.2,5.1,0.6,2.4,1.27,2.32,1.38,5.68,2.06,4.71,1.43,1.44,4.52,5.31,2.47,0.99,3.18,3.13,4.53,1.61,2.39,2.31,1.08,2.24,3.41,2.8,1.96,1.95,0.57,0.91,1.58,3.37,5.6,0.66,1.24,1.18,3.02,2.09,2.83,1.96,2.07,2.47,0.76,2.42,3.08,1.6,2.9,0.71,0.52,1.36,2.24,3.44,1.26,1.85,2.12,1.72,3.7,0.43,2.61,1.9,2.39,3.43,3.67,2.52,2.91,,,,,,,,
April,,,,,,,,3.47,2.22,2.82,2.29,0.78,3.65,1.55,1.7,2.14,1.13,2.66,1.36,3.84,0.95,1.86,0.81,1.18,1.81,1.42,1.3,2.3,5.2,4.1,2.06,3.42,2.27,1.72,3.41,2.66,1.07,3.01,0.68,3.67,2.56,1.61,0.09,3.06,1.34,0.98,2.05,1.16,0.98,1.22,1.72,0.87,1.94,3.11,1.87,3.18,2.39,1.58,1.3,0.79,2.24,2.68,3.05,1.67,2.95,3.28,0.65,1.56,0.3,1.46,2.62,1.24,2.21,1.99,2.4,1.61,0.36,4.32,1.3,2.01,2.03,1.95,1.44,2.03,0.99,1.29,0.72,1.14,0.96,3.6,3.28,,,,,,,,
May,,,,,,,,2.45,3.17,1.77,0.85,1.87,2.05,1.24,2.31,5.57,3.48,0.5,2.78,3.37,2.12,2.16,2.8,1.18,3.2,0.61,0.8,1.6,1.4,2.3,4.3,2.57,1.77,1.5,2.77,2.46,5.08,3.89,2.21,3.07,0.97,1.97,1.66,5.96,1.9,0.83,3.17,2.87,2.86,1.48,3.81,2.17,1.69,1.33,4.03,4.55,2.87,2.21,1.2,2.78,1.99,4.96,3.09,1.67,2.28,0.67,0.73,1.91,4.3,1.46,1.6,2.09,5.05,3.17,2.04,4.23,1.67,4.47,3.97,2.18,1.19,1.74,4.7,1.88,4.57,2.33,0.94,2.16,2.99,0.85,2.84,,,,,,,,
June,,,,,,,,5.62,4.07,4.37,2.46,2.97,4.13,3.42,0.86,1.46,0.78,0.53,3.17,1.12,3.44,0.36,4.3,1.91,2.89,2,3,4,1.6,1.4,2.57,1.74,1.29,3.09,1.11,1.7,0.76,6.18,1.87,2.02,1.44,1.8,3.91,2.28,0.77,1.12,1.56,1.38,0.53,1.39,1.56,0.48,1.41,0.59,1.59,0.43,2.85,2.97,2.72,1.62,2.07,5.06,1.27,1.76,0.95,4.01,2.83,2.42,4.05,1.94,0.38,1.11,1.07,2.57,2.86,4.21,3.25,3.1,4.72,1.57,1.39,2.66,2.32,2.19,1.82,2.27,3.63,1.34,3.52,2.7,2.46,,,,,,,,
July,,,,,,,,4.26,0.94,2.49,4.2,3.48,6.47,5.52,5.27,1.4,4.03,2.79,4.75,2.08,4.22,3.58,2.1,3.23,2.83,4.02,3.8,1.3,0.9,1.9,3.69,2.46,2.96,5.15,2.05,1.75,0.73,2.6,2.31,2.6,4.42,2.35,3.25,0.89,3.16,3.95,4.78,1.41,5.56,0.58,2.13,3.09,2.69,2.15,5.43,1.74,1.78,2.06,0.98,3.26,4.19,3.94,3.55,3.66,3.74,1.34,5.51,4.5,5.23,5.64,4.89,3.22,3.38,2.19,2.82,3.27,3.84,3.09,3.92,2.31,4.95,3.08,3.66,4.93,3.06,0.68,4.42,5.22,3.79,3.74,4.15,,,,,,,,
August,,,,,,,,5.42,6.16,5.71,1.29,3.22,1.84,3.68,2.88,3.78,1.35,2.77,2.8,7.32,2.58,4.23,4.68,3.5,4.23,6.61,1.7,5.9,3,0.9,3.15,4.69,3.72,4.49,5.28,4.45,5.32,3.68,2.39,1.2,7.87,1.68,4.26,1.1,2.81,4.4,3.65,5.7,3.52,2.35,3.28,4.68,2.18,5.64,3.92,3.4,3.04,5.2,6.29,4.41,6.77,2.72,1.61,1.27,4.87,1.79,1.63,3.97,1.5,2.66,0.99,3.53,3.71,5.08,1.88,2.92,4.48,0.12,8.53,3.17,4.44,4.68,2.64,2.49,2.93,0.68,6.38,4.54,3.86,1.16,6.57,,,,,,,,
September,,,,,,,3.37,2.5,3.9,3.33,2.66,4.76,3.53,2.85,2.5,4.03,3.53,2.42,0.46,0.82,2.47,3.04,2.39,1.78,0.56,1.7,4.8,1.7,2.7,3.8,3.15,2.65,2.02,3.96,2.66,1.48,1.4,1.31,5.47,1.24,0.92,1.1,2.8,3.51,0.89,1.24,1.51,2.04,3.63,1.4,2.21,1.6,2.49,3.44,3.6,2.26,3.88,3.47,3.77,0.93,4.31,1.23,1.77,2.14,4.7,5.04,4.19,1.6,3.7,2,2.42,1.4,3.54,3.71,2.68,4.41,5.57,3.02,3.3,2.11,6.17,1.99,0.67,2.83,4.03,1.67,4.86,2.25,3.49,0.88,2.16,,,,,,,,
October,,,,,,,5.58,6.69,4.05,1.41,0.55,5.67,5.43,2.84,2.32,2.31,3.77,0.97,3.58,3.32,3.14,4.72,5.45,2.67,3.15,2.27,1.9,2,5.3,1.5,2.93,3.12,2.09,6.77,1.63,1.8,4.59,4.62,5.32,5.42,2.38,2.37,4.11,2.23,3.3,4.45,5.77,2.96,2.76,0.94,2.62,2.76,1.52,3.25,4.19,3.33,4.66,5.01,4.92,4.13,4.09,1.77,6.33,3.04,3.96,6.23,2.25,3.41,5.12,5.31,4.65,3.92,2.69,4.88,4.21,5.25,0.35,2.19,3.96,3.7,1.54,0.74,3.13,1.67,6.13,2.15,2.2,2.06,2.76,2.86,6.29,,,,,,,,
