KIRRIEMUIR LINTRATHEN (overlap),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO273541,Long,-3.1876,Lat,56.673,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5576/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,6.3,2.4,2.45,,,,,,,,,,,,,,,,,,,,,4.3,3,2.2,5.4,3.3,0.9,3.3,2,2.1,3.9,3.5,1.1,5.3,7,1.8,2.9,4,1.7,2.3,2.9,3.7,3.9,4.7,2.9,3,3.1,6.5,3.3,7.5,2.6,3.7,,,,,,,,,,,,,,,,3.1,4.1,5.4,2.3,2.7,3.8,2.8,0.7,2.05,2,3.6,4.55,3.5,1.57,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.25,1.55,4,,,,,,,,,,,,,,,,,,,,,3.3,1.8,1.4,4.7,4.3,1.1,1.4,2.2,1.8,0.6,3.3,2.1,3.8,1.7,3.9,6,3.4,0.9,3.1,1.2,3.1,0.8,3.8,8.9,1.4,4.8,5.8,1.7,2.2,3.75,1.5,,,,,,,,,,,,,,,,1.7,3.1,3.5,2.7,3.2,3.4,0.85,1.05,3.4,1.45,1.2,3.76,2.19,0.54,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.5,1.3,3.05,,,,,,,,,,,,,,,,,,,,,1.3,2.1,1.1,6,2.5,4.4,1.6,1.8,4.2,4.5,2.6,1,3.2,4.9,4.5,1.8,2.3,2.3,1.1,2.2,3.4,2.9,1.9,1.9,0.6,0.83,1.5,3.5,5.8,0.7,1.4,,,,,,,,,,,,,,,,2.3,3.4,1.3,1.9,2.2,1.7,3.8,0.44,2.6,1.88,2.4,3.43,3.67,2.52,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.7,2.4,2.8,,,,,,,,,,,,,,,,,,,,,2.2,3.3,2.3,2.2,3.4,2.5,1,2.8,0.9,3.6,2.5,2.6,0,3,1.2,1,2.1,1.1,1,1.22,1.8,0.8,2,3.4,1.9,3.3,2.6,1.4,1.6,0.7,2.2,,,,,,,,,,,,,,,,0.4,4.5,1.3,2.1,2.1,2,1.48,2.1,1,1.3,0.72,1.14,0.96,3.62,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.85,3,1.75,,,,,,,,,,,,,,,,,,,,,4.1,2.4,2,1.8,3,2.2,4.6,4.2,2,3,1,1.8,1.3,5.9,1.9,0.9,3.2,2.8,3.1,1.5,3.9,2.3,1.7,1.4,4.1,4.46,3.1,2.4,1.2,3,2.1,,,,,,,,,,,,,,,,1.7,4.5,4,2.2,1.2,1.7,4.73,1.9,4.6,2.35,0.94,2.16,2.99,0.85,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,5.1,3.85,4.35,,,,,,,,,,,,,,,,,,,,,3,1.6,1.9,3.3,1.7,1.6,0.8,5.1,1.8,1.9,1.5,1.7,3.8,2.3,0.8,1.2,2.1,1.5,0.65,1.4,1.6,0.5,1.4,0.7,1.6,0.38,3.2,3.3,2.95,1.7,2.1,,,,,,,,,,,,,,,,3.3,3.1,4.8,1.57,1.4,2.7,2.35,2.25,1.83,2.28,3.64,1.34,3.51,2.7,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.05,0.8,3.3,,,,,,,,,,,,,,,,,,,,,3.4,2.3,2.8,5.3,2.5,1.8,1.1,2.5,2.3,2.6,4.4,2.3,3,0.9,1.6,3.8,4.8,1.4,5.56,0.5,2.2,3.2,2.7,2.2,5.5,1.95,2,2.3,1.1,3.3,4.4,,,,,,,,,,,,,,,,3.9,3.1,4,2.4,5,3.1,3.7,5,3.07,0.68,4.42,5.22,3.7,3.74,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,5.85,5.95,5.25,,,,,,,,,,,,,,,,,,,,,3.2,4.6,4,6.3,5,4.4,4.3,3.8,2.2,1.5,7.9,1.5,3.9,1.1,3.2,4.2,3.7,5.7,3.5,2.3,3.4,4.7,2.2,5.6,3.8,3.6,3.1,5.6,6.8,4,6.8,,,,,,,,,,,,,,,,4.5,0.12,8.7,3.26,4.5,4.7,2.65,2.5,3.03,0.68,6.38,4.54,3.86,1.18,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.65,4,3.35,,,,,,,,,,,,,,,,,,,,,2.9,2.6,2.2,2.6,2.7,1.3,1.3,1,4.7,1.3,1,1.2,2.7,3.4,0.9,1.5,1.4,2,3.7,1.4,2.2,1.6,2.4,3.5,3.6,2.4,4.2,3.7,3.2,0.9,4.4,,,,,,,,,,,,,,,,5.6,3.02,3.35,2.2,6.25,2.05,1.65,2.85,4.05,1.68,4.86,2.25,3.63,0.86,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.05,6.75,4.04,1.45,,,,,,,,,,,,,,,,,,,,,3.9,2.7,2.3,6.7,1.9,2.2,4.6,4.3,5.2,5.4,1,2.4,4,2.3,3.2,4.3,5.8,3.2,2.85,0.9,3.7,2.6,1.5,3.5,4.3,3.5,4.9,6.3,5.2,4.15,4.1,,,,,,,,,,,,,,,,0.4,2.2,4,3.8,1.6,0.8,3.1,1.7,6.15,2.16,2.2,2.06,2.76,2.86,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
