BALCOMBE-LULLINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ328303,Long,-0.106492,Lat,51.056694,Elevation,348,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.35,4.65,3.08,6.03,1.39,4.6,3,3.89,2.75,3.39,1.14,5.86,7.36,4.31,6.18,2.74,2.98,3.34,7.24,2.64,2.17,3.2,2.99,5.89,1.35,1.43,4.39,3.3,1.49,1.88,4.21,5.47,3.49,4.26,3.3,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,5.2,3.31,5.67,2.16,0.71,1.19,2.84,0.55,3.38,0.28,4.9,2.52,6.24,1.26,1.91,4.02,4.21,0.63,2.4,1.03,2.45,3.02,1.93,2.02,1.89,6.66,8.15,0.85,1.83,3.12,2.16,0.71,5.89,2.73,0.05,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.91,0.43,4.02,2.58,0.03,1.71,0.57,1.95,3.86,3.59,0.55,1.87,4.18,0.7,1.7,4,3.71,3.45,0.41,0.11,1.66,1.46,7.43,1.06,1.21,2.27,4.77,3.73,0.37,4.21,1.45,1.22,1.87,2.3,2.28,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,3.44,4.26,2.06,2.62,0.92,2.41,4.22,3.5,0.8,2.77,4.21,2.75,3.56,0.23,3.4,1.58,1.57,1.61,1.84,2.16,1.34,2.34,1.95,1.82,1.73,2.47,3.5,2.81,3.41,0.42,0.19,1.93,0.15,1.41,3.04,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.45,1.88,0.91,1.31,3.21,3.02,3.32,3.59,1.63,0.82,1.92,0.43,2.4,2.79,2.05,1.85,2.8,3.98,3.43,1.04,2.37,3.02,1.58,2.76,2.11,1.24,3.12,2.03,2.66,2.1,5.37,0.6,1.63,,0.28,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.15,4.01,4.95,3.12,1.82,0.82,2.24,1.9,1.98,1.72,3.51,3.64,1.56,0.72,2.18,0.36,1.92,0.19,2.04,1.83,2.67,4.4,3,3.52,0.99,1.48,2.03,1.67,2.62,4.71,2.26,3.45,2.32,,1.17,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.51,1.43,3.27,1.7,2.3,2.88,4.05,3.74,2.88,2.32,0.87,4.96,1.11,1.96,3.59,3.18,3.42,2.3,2.53,3.55,4.91,2.23,2.43,2.17,0.41,3.23,3.08,0.86,4.55,4.38,1.24,3.55,3.9,2.35,2.02,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.58,2.83,5.75,2.86,3.43,4.6,4.01,1.16,1.34,1.99,4.74,0.41,1.35,1.51,3.4,0.13,5.24,3.51,2.08,2.59,2.59,7,0.58,4.79,1.77,3.12,7.16,3.96,2.61,3.52,0.92,4.18,3.19,4.94,1.48,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.48,0.7,6.09,1.14,1.59,3.75,2.3,2.66,3.51,2.23,5.68,2.25,2.63,3.76,1.12,1.86,0.54,2.58,1.95,3.27,2.84,5.72,2.29,2.45,1.14,3.84,3.78,3.72,5.05,3.38,2.76,4.44,4.22,4.94,0.19,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.93,2.82,2.74,7.72,4.78,2.14,0.61,8.83,2.38,2.75,5.35,1.93,3,4.54,6.61,4.36,1.43,4.46,3.76,5.69,4.13,1.27,0.56,2.41,11.16,0.51,1.58,3.83,4.48,3.01,4.95,2.56,1.92,,4.53,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,4.07,7.74,4.13,4.04,9.81,6.64,4.98,1.85,1.29,5.09,7.66,5.44,2.45,4.39,7.85,9.08,4.75,2.17,1.93,6.09,0.31,6.12,1.74,1.88,3.73,7.41,6.8,4.67,1.97,6.84,1.93,1.2,4.88,,4.51,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,4.4,0.55,4.92,4.1,8.84,3.72,1.1,0.92,0.86,9.91,5.42,3.86,4.82,4.42,2.37,2.63,3.02,3.85,2.94,2.89,5.12,3.99,3.04,4.52,2.18,2.35,3.85,3.34,1.13,2.88,4.23,5.34,3.15,5.15,8.43,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,40.47,34.61,47.59,39.38,38.83,37.48,33.24,34.54,26.66,36.86,45.95,35.92,40.66,30.59,42.36,35.79,35.59,32.07,32.55,32.89,32.56,43.77,29.52,35.29,29.67,36.01,52.21,34.77,32.17,40.45,31.67,34.65,36.61,,31.28,47.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 May Jun Oct Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
