COLDSTREAM (SUNNYBRAE),,,,,,,,,,,,,,,,,,,,
Grid ref,NT839401,Long,-2.2574213,Lat,55.65416,Elevation,120,ft,,,,,,,,,,,,
Station no,5086/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1,3.59,2.8,1.88,0.69,5.21,0.96,,,,
February,,,,,,,,,,1.62,4.52,2.61,0.87,1.53,1.65,0.64,,,,
March,,,,,,,,,,2.9,2.1,1.13,1.05,0.86,0.49,1.52,,,,
April,,,,,,,,,,0.89,1.3,0.34,0.75,1.37,0.9,0.34,,,,
May,,,,,,,,,,0.87,1.54,1.24,3.69,2.68,4.43,0.99,,,,
June,,,,,,,,,,0.62,1.42,0.88,1.84,2.3,2.19,1.56,,,,
July,,,,,,,,,,7.97,1.37,2.1,2.25,3.03,1.72,2.63,,,,
August,,,,,,,,,,0.7,3.32,1.59,3.53,2.04,3.2,,,,,
September,,,,,,,,,,2.33,0.57,2.03,1.55,4.49,2.49,,,,,
October,,,,,,,,,,2.4,3.47,2.09,1.98,1.98,2.92,,,,,
November,,,,,,,,,,2.77,2.53,0.34,1.92,3.93,0.7,,,,,
December,,,,,,,,,,2,0.41,1.41,0.94,1.79,1.46,,,,,
Total,,,,,,,,,,26.07,26.14,18.56,22.25,26.69,27.36,,,,,
,,,,,,,,,,,,,,,,,,,,
1946 100s transcribed so removed,,,,,,,,,,,,,,,,,,,,
