HALIFAX-SALTERHEBBLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE095227,Long,-1.8575833,Lat,53.700651,Elevation,255,ft.,,,,,,,,,,,,
Station no,RR6055,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.08,2.95,1.04,4.66,1.14,,2.01,3.47,,,,,,,,,
February,,,,3.44,4.64,0.73,3.01,2.74,,1.31,3.52,,,,,,,,,
March,,,,5.11,2.02,2.08,2.56,2.83,,2.76,0.41,,,,,,,,,
April,,,,0.75,1.83,1.51,0.87,1.39,,3.7,2.87,,,,,,,,,
May,,,,3.61,2.38,0.58,2.03,3.65,,2.02,1.78,,,,,,,,,
June,,,,0.77,0.59,1.59,1,4.33,,2.73,3.02,,,,,,,,,
July,,,,2.54,2.4,1.56,1.13,1.99,,3.29,2.73,,,,,,,,,
August,,,,2.77,4.44,3.99,1.98,,,2.44,4.23,,,,,,,,,
September,,,,4.21,0.69,1.05,0.58,0.69,,3.06,0.05,,,,,,,,,
October,,,,9.12,0.88,2,5.41,5.54,,3.05,2.64,,,,,,,,,
November,,,,1.95,2.27,3.27,3.77,2.44,,0.74,3.78,,,,,,,,,
December,,,,1.7,1.6,0.51,2.87,2.93,,5.31,3.29,,,,,,,,,
Total,,,,39.05,26.69,19.91,29.87,,,32.42,31.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the station at the stated altitude.,,,,,,,,,,,,,,,,,,,,
"NGR could be up to 250m S to match the relationship to the church, which is further away.",,,,,,,,,,,,,,,,,,,,
630m from HALIFAX-BERMERSIDE-OBSERVATORY,,,,,,,,,,,,,,,,,,,,
