BROUGHTON-IN-FURNESS (HESKETH HALL),,,,,,,,,,,,,,,,,,,,
Grid ref,SD223907,Long,-3.1956315,Lat,54.305967,Elevation,130,ft,,,,,,,,,,,,
Station no,3019/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.86,6.96,6.32,7.6,8.15,4.87,2.23,8.52,,,,,,,,
February,,,,,8.7,2.76,10.84,3.08,7.75,2.6,4.42,2.33,,,,,,,,
March,,,,,1.74,4.38,3.25,2.94,4.19,7.69,4.46,6.7,,,,,,,,
April,,,,,5.14,0.92,4.74,0.99,3.8,3.44,2.54,2.68,,,,,,,,
May,,,,,0.84,1.35,2.44,6.11,0.93,1.27,5.63,4.07,,,,,,,,
June,,,,,5.06,5.51,4.36,6.46,5.04,1.26,0.64,1.53,,,,,,,,
July,,,,,2.3,5.13,4.02,10.66,8.85,6.42,1.95,5.18,,,,,,,,
August,,,,,4.26,5.8,3.3,4.65,2.46,2.34,7.27,7.32,,,,,,,,
September,,,,,11.68,6.72,4.82,4.56,2.63,6.64,1.95,5.76,,,,,,,,
October,,,,,10.59,6.16,3.23,14.12,2.62,6.77,8.66,9.9,,,,,,,,
November,,,,,6.6,8.22,2.5,9.79,8.45,8.17,4.32,2.46,,,,,,,,
December,,,,,6.28,8.24,7.04,7.61,3.6,9.82,3.92,8.57,,,,,,,,
Total,,,,,67.05,62.15,56.86,78.57,58.47,61.29,47.99,65.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1935 and 1939 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
