LANGTOFT SCHOOL,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA009670,Long,-0.459,Lat,54.089,Elevation,265,ft,,,,,,,,,,,,,,
Station no,3403/5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.01,3.27,5.47,3.45,2.70,5.66,1.83,3.63,6.00,0.88,1.40,2.13,2.94,1.76,1.93,,4.54,1.14,2.69,2.77,6.88
February,,1.94,4.09,,0.40,1.81,2.07,1.55,3.95,1.42,0.89,4.60,3.44,1.11,2.65,2.68,2.27,2.61,2.98,4.69,0.32,2.72
March,,1.61,3.04,0.91,0.50,0.67,0.60,1.65,4.32,0.69,1.35,1.01,3.28,2.22,0.23,2.15,2.45,0.65,1.36,2.65,1.26,1.68
April,,1.13,1.87,,1.44,1.98,2.02,1.44,2.12,1.55,2.26,2.88,1.49,1.37,3.02,0.33,0.60,0.86,0.46,1.22,2.35,0.95
May,,0.87,1.63,3.72,2.49,0.62,1.58,1.52,0.92,1.79,1.70,1.96,4.33,1.59,1.50,1.57,2.07,0.55,1.12,1.89,0.87,1.65
June,,0.53,0.40,1.17,1.73,2.41,3.32,2.32,2.67,5.65,1.10,1.39,2.22,1.46,2.70,2.04,2.06,2.37,1.14,2.74,0.93,0.40
July,,6.07,2.59,2.19,0.67,3.94,1.23,3.25,1.07,1.03,1.63,2.60,2.44,2.11,1.83,1.59,1.15,5.63,3.83,4.24,2.74,3.60
August,,1.22,3.95,2.19,2.24,2.86,3.47,3.34,0.36,3.04,1.47,5.41,7.03,1.60,2.16,7.23,0.65,6.46,3.41,2.63,0.19,2.86
September,,1.73,0.93,2.04,3.57,4.73,2.25,4.20,1.43,1.73,0.65,2.98,1.21,4.86,1.76,2.27,1.29,1.49,3.32,1.99,0.43,2.66
October,,3.22,3.67,1.57,1.48,2.63,3.35,1.25,0.79,1.26,3.37,1.36,0.96,2.90,1.92,3.58,2.20,1.23,2.27,1.98,2.14,7.72
November,,3.99,4.03,0.87,2.97,3.97,1.29,6.05,2.06,0.93,4.97,4.62,5.19,4.10,2.42,5.53,1.69,1.11,2.76,0.78,3.53,4.61
December,2.90,2.61,0.44,,1.21,2.13,1.85,3.28,1.98,1.88,2.28,3.85,1.84,2.61,1.48,2.12,3.54,2.67,2.70,4.14,4.27,4.00
Total,,26.93,29.91,,22.15,30.45,28.69,31.68,25.30,26.97,22.55,34.06,35.56,28.87,23.43,33.02,,30.17,26.49,31.64,21.80,39.73
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/272,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/127,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/215,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# The 1940 total has been adjusted by 0.01 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,
"# The January 1942 reading is recorded as corrected for snow, and has been retained.",,,,,,,,,,,,,,,,,,,,,,
"# The February, April, and December 1942 readings are notes as being considerably adjusted, and have been omitted.",,,,,,,,,,,,,,,,,,,,,,
# The 1945 total has been adjusted by 0.01 compared to the sheet figure to match the sum of the months.,,,,,,,,,,,,,,,,,,,,,,
"# The January 1955 reading is recorded as being from Driffield Airfield, and has been omitted.",,,,,,,,,,,,,,,,,,,,,,
"# The June 1956 reading is partially estimated, and has been retained.",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# There is a confusing comment on the 1940s sheet to say that the gauge moved 1/2 mile north in July 1945.,,,,,,,,,,,,,,,,,,,,,,
# But this is not reflected in later grid references or church directions or elevations (or the location given in MIDAS).,,,,,,,,,,,,,,,,,,,,,,
"# Such a move would put the gauge in the vicinity of Langtoft Mill TA006680, elevation 450 ft.",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1988 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,
