"STAINES RESERVOIR (WEST SIDE)",,,,,,,,,,,,
Grid ref,TQ046730,Long,-0.496235,Lat,51.446339,,,,,,,
Station no,836,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.12,2.03,0.70,1.02,2.18,3.68,1.89,2.40,2.28,2.03,,
February,5.63,0.77,1.39,2.07,1.30,0.26,2.94,2.43,0.13,1.98,,
March,3.62,2.74,0.41,2.26,0.96,0.59,0.98,1.24,1.85,1.22,,
April,2.47,1.59,2.43,0.35,0.31,1.31,0.23,1.16,2.10,0.51,,
May,2.37,2.55,1.57,3.00,4.00,0.33,1.12,2.47,0.74,2.00,,
June,1.00,1.45,1.50,3.70,2.34,1.67,1.10,4.01,0.40,2.00,,
July,1.23,0.53,3.49,2.48,0.27,7.01,3.96,2.40,2.97,3.64,,
August,3.22,3.39,1.61,3.19,0.88,4.32,5.04,2.82,1.96,2.74,,
September,2.74,3.21,1.90,2.24,1.66,1.95,2.54,3.41,0.10,2.93,,
October,0.98,3.00,2.95,2.40,3.58,3.36,2.03,2.24,2.37,6.51,,
November,6.00,2.92,1.30,4.37,1.35,0.37,2.19,2.03,2.44,3.52,,
December,1.84,2.61,0.73,2.20,2.09,3.01,1.67,3.64,3.44,2.46,,
Total,34.22,26.79,19.98,29.28,20.92,27.86,25.69,30.25,20.78,31.54,,
Calc annual,34.22,26.79,19.98,29.28,20.92,27.86,25.69,30.25,20.78,31.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
