STAINES-RESERVOIRS-EAST-SIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ055734,Long,-0.48316997,Lat,51.449768,Elevation,53,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.84,2.65,2.33,3.53,0.98,3.11,1.11,2.01,1.96,1.3,0.81,4.15,4.24,2.26,4.64,2.46,2.4,2.63,4.29,1.46,1.65,,,,,
February,,,,,,3.54,2.16,3.68,1.48,0.52,0.55,1.45,0.07,2.69,0.1,2.48,1.65,4.37,0.33,0.83,1.83,2,0.63,1.09,0.72,1.6,,,,,
March,,,,,,0.64,0.24,2.49,1.52,0.05,0.92,0.33,1.21,2.48,2.19,0.31,1.08,3.08,0.17,0.88,3.06,3.7,1.59,0.39,0.12,0.44,,,,,
April,,,,,,2.26,2.6,1.72,1.51,0.99,1.29,3.32,2.03,0.69,1.5,2.82,1.64,2.28,0.08,2.07,2.09,1.65,1.08,0.76,1.22,,,,,,
May,,,,,,2.2,2.72,1.1,2.02,1.45,2.4,2.57,4.25,2.29,0.65,1.16,0.57,2.72,1.6,1.54,1.39,1.67,2.33,2.54,0.36,,,,,,
June,,,,,,0.02,2.86,2.96,2.36,0.91,1.17,1.94,0.77,1.28,0.85,3.85,3.78,2.03,0.42,1.37,0.64,1.6,0.28,1.12,1.41,,,,,,
July,,,,,,3.48,1.56,3.18,1.69,1.44,1.7,3.09,2.09,0.89,2.97,1.47,3.39,0.75,0.92,2.78,2.33,3.82,1.33,2.73,1.64,,,,,,
August,,,,,,3.14,0.88,3.09,2.1,1.7,3.02,4.21,1.21,0.33,2.76,1.91,0.67,1.33,2.85,2.47,0.05,5.3,2.25,1.25,2.86,,,,,,
September,,,,,,2.89,2.27,5.13,0.92,0.22,2.55,2.15,2.12,2.3,1.61,3.12,2.53,2.26,1.5,0.89,1.38,0.36,0.74,1.94,1.85,,,,,,
October,,,,,3.52,3.3,2.04,1.62,3.78,3.01,0.84,0.69,4.37,1.65,1.5,2.79,1.81,2.74,2.25,4.39,2.56,0.84,2.78,2.67,2.87,,,,,,
November,,,,,2.86,1.72,5.02,3.08,1.85,5.33,4.01,2.29,1.31,0.94,1.87,4.4,2.84,1.21,2.78,4.11,6.55,2.51,2,1.29,3.63,,,,,,
December,,,,,3.74,2.77,0.34,3.29,2.32,5.33,1.95,0.58,0.39,0.43,4.76,2.41,1.51,3.44,2.78,1.09,0.96,1.53,2.63,1.21,1.23,,,,,,
Total,,,,,,27.8,25.34,33.67,25.08,21.93,23.51,23.73,21.83,17.93,22.06,27.53,25.62,30.45,17.94,27.06,25.3,27.38,20.27,21.28,19.37,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is on East side where the inspectors note says ""… just before where road from Stanwell to Ashford meets the reservoir embankment""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 3 gauges at this location and there are a large number of duplicated readings where that gauges overlap. The duplicated readings are randomly spread over the years and  29% to 38% of the monthly readings are within 0.04 inches of each other. 4 monthly readings are duplicated over all 3 gauges. Whilst the duplications might be suspicious, the randomness of their occurrence and the closeness of the readings across all gauges suggests the readings are generally legitimate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
