LITTLE-BERKHAMPSTED-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL292076,Long,-0.12970059,Lat,51.752201,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.63,2.24,1.42,1.89,1.91,1.72,1.37,3.34,3.8,2.9,5.1,1.92,2.21,2.24,4.57,,,,,,,
February,,,,,,,,,1.67,0.4,0.68,1.57,0.22,1.9,0.36,2.98,2.32,4.36,0.74,0.79,1.51,1.8,1.24,1.32,,,,,,,
March,,,,,,,,,1.32,0.07,1.69,,1.62,2.81,2.22,0.53,1.16,2.74,0.54,1.82,2.38,2.95,1.53,0.62,,,,,,,
April,,,,,,,,,1.46,1.42,2.66,,2.19,1.09,1.23,3.14,1.53,2.84,0.22,1.49,1.32,0.95,1.19,0.75,,,,,,,
May,,,,,,,,,1.44,1.92,2.22,2.66,3.67,1.94,0.61,1.68,1.97,2.82,2.27,1.47,1.16,1.81,3.04,2.2,,,,,,,
June,,,,,,,,,2.54,0.61,1.06,1.65,0.88,2.17,0.92,3.46,3.06,1.66,0.42,1.36,0.48,0.97,0.26,1.34,,,,,,,
July,,,,,,,,,1.88,2.44,2.54,3.51,1.55,1.29,1.08,0.57,4.01,1.52,1.19,2.26,1.98,3.53,2.14,1.71,,,,,,,
August,,,,,,,,,,0.75,2.7,4.23,2.79,0.37,2.45,1.42,0.45,1.48,0.82,3.58,0.05,4.67,1.79,1.74,,,,,,,
September,,,,,,,,,1.06,0.65,3.09,,1.86,2.93,1.19,3.63,2.88,1.84,2.57,2.21,0.82,0.59,1.45,1.7,,,,,,,
October,,,,,,,,,3.86,3.36,1.12,0.67,4.73,1.62,1.49,2.8,1.13,2.62,2.97,4.7,2.96,0.97,3.95,2.68,,,,,,,
November,,,,,,,,,2.84,6.63,3.11,3.07,1.68,1.27,1.91,4.31,3.6,1.69,3.01,3.82,6.43,2.62,1.91,1.57,,,,,,,
December,,,,,,,,,1.87,5.3,3.4,0.82,0.59,0.31,4.84,2.8,1.7,3.07,2.59,1.36,1.46,1.41,2.82,1.44,,,,,,,
Total,,,,,,,,,,25.18,26.51,,23.67,19.61,20.02,28.69,27.15,30.44,20.24,29.96,22.47,24.48,23.56,21.64,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan AUg estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Mar Apr Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
