RIVER-ASHOP-WEIR-80A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK140895,Long,-1.7908978,Lat,53.40214,Elevation,795,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2692/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.36,7.76,7.81,,5.24,5.95,6.32,10.37,6.94,8.06,4.18,12.74,3.02,4.56,7.61,6.78,2.27,5.12,3.49,,3.61,6.48,,8.69
February,,,,,,,9.01,2.88,5.01,,6.2,2.55,5.05,3.91,6.8,11.21,3.94,5.79,3.4,7.95,6.8,2.73,3.33,3.64,2.7,,,7.55,0.53,
March,,,,,,3.62,4.94,2.18,4.55,4.18,6.82,2.98,2.07,1.15,1.68,2.35,8.5,2.23,2.2,2.66,7.92,3.12,3.68,3.05,3.54,2.79,,,,2.81
April,,,,,,1.98,4.57,0.78,3.51,4.23,3.34,2.93,3.61,3.46,3.57,2.33,4.86,3.3,5.35,5.91,3.44,3.35,3.47,0.92,1.63,2.94,0.86,1.63,,3.23
May,,,,,,2.04,3.16,5.09,2.56,1.31,3.57,4.65,3.98,4.72,4.08,2.07,4.34,1.84,2.59,2.91,3.26,2.81,2.25,3.9,5.74,1.35,,3.57,1.53,
June,,,,,,3.84,2.26,5.33,3.24,1.34,2.49,1.23,4.46,4.39,5.52,5.39,4.12,9.1,1.67,2.58,1.85,3.06,3.09,3.09,4,4.12,2.04,5.76,2.87,
July,,,,,,7.33,5,6.33,8.77,5.66,4.37,5.83,3.13,4.68,2.27,6.86,3.11,3.24,2.67,3.72,3.27,3.12,5.15,6.73,1.47,9.76,6.04,,,7.29
August,,,,,,3.05,1.85,2.78,2.85,2.52,8.35,4.35,7.11,3.84,3.72,5.79,0.66,6.34,3.55,3.65,6.45,2.73,4.99,7.41,1.58,10.51,8.85,3.9,0.39,6.28
September,,,,,,7.32,1.84,3.39,2.53,4.87,0.83,3.77,5.52,7.04,3.34,7.75,2.56,,2.07,7.28,3.42,6.67,2.38,6.27,2.75,4.79,8.27,,0.15,5.31
October,,,,,,6.92,2.96,10.63,4.57,5.01,6.23,7.7,3.29,6.29,8.75,2.05,1.27,,5.57,3.14,1.48,6.31,2.22,8.21,4.43,3.89,6,4.55,4.32,7.64
November,,,,,,7.46,2.41,7.12,9.52,11.27,5,1.99,6.45,8.73,0.93,9.73,7.98,2.98,8.34,9.01,10.95,4.01,3.82,7.83,3.09,2.69,3,2.42,5.16,9.11
December,,,,,,5.54,4.6,6.74,4.34,6.7,4.62,5.17,2.78,5.12,5,5.79,5.98,4.62,10,3.09,7.82,5.25,2.14,8.92,7.89,7.13,7.54,5.1,,7.12
Total,,,,,,,49.96,61.01,59.26,,57.06,49.1,53.77,63.7,52.6,69.38,51.5,,50.43,56.46,64.27,49.94,38.79,65.09,42.31,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3260 ASHOP WEIR Start 1936 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near the River Ashop. Altitudes match. Two gauges assumed to be at the same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1941 and Feb and Mar 1937 estimated for snow but readings left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
