RIVER-ASHOP-WEIR-80,,,,,,,,,,
Grid ref,SK140895,Long,-1.7908978,Lat,53.40214,Elevation,793,ft.,,
Station no,2692/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,5.53,4.37,4.5,,,,
February,,,,0.3,10.03,4.2,,,,
March,,,,5.64,2.95,4.55,,,,
April,,,,3.21,5.22,2.28,,,,
May,,,,3.6,0.82,2.17,,,,
June,,,,2.17,5.36,3.96,,,,
July,,,,5.54,2.5,7.3,,,,
August,,,,4.06,2.16,3.11,,,,
September,,,,3.95,8.23,7.36,,,,
October,,,,8.4,12.72,7.03,,,,
November,,,,3.24,8.51,7.77,,,,
December,,,,7.41,6.74,5.91,,,,
Total,,,,53.05,69.61,60.14,,,,
,,,,,,,,,,
NGR is from the 1950s record and is near the River Ashop. Altitudes match. Two gauges assumed to be at the same location,,,,,,,,,,
