BIRLINGHAM RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO930431,Long,-2.1035727,Lat,52.086206,Elevation,70,ft,,,,,,,,,,,,,
Station no,2423/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.39,1.14,2.16,1.8,1.72,0.66,3.09,,,,
February,,,,,,,,,,,0.37,1.67,0.18,3.04,0.39,1.81,1.95,,,,
March,,,,,,,,,,,1.26,0.13,1.49,2.15,1.46,0.66,1.8,,,,
April,,,,,,,,,,,2.12,2.71,2.6,1.12,1.91,3.72,2.14,,,,
May,,,,,,,,,,,1.69,3.46,6.94,1.95,0.83,1.41,0.74,,,,
June,,,,,,,,,,,1.12,4.2,1.13,2.3,0.79,2.66,4.17,,,,
July,,,,,,,,,,,2.56,2.93,1.78,1.77,0.51,0.32,5.27,,,,
August,,,,,,,,,,,2.8,3.66,3.4,0.56,1.85,0.97,0.27,,,,
September,,,,,,,,,,,2.85,2.56,3.55,1.55,1.88,2.82,3.86,,,,
October,,,,,,,,,,,2.05,0.66,3.52,3.12,0.78,2.93,,,,,
November,,,,,,,,,,,3.1,3.04,1.4,0.68,1.64,4.82,,,,,
December,,,,,,,,,,,3.15,1,0.88,0.3,4.41,3.45,,,,,
Total,,,,,,,,,,,26.46,27.16,29.03,20.34,18.17,26.23,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Eckington - data for 1936 Oct-Dec from new site therefore removed,,,,,,,,,,,,,,,,,,,,,
