ALCESTER (BLEACHFIELD STREET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP092579,Long,-1.866752,Lat,52.219236,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2447/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.92,6.82,3.51,2.74,3.11,4.29,1.99,1.14,1.62,,3.87,1.26,0.43,2.42,1.55,0.84,0.95,2.61,3.05,1.33,2.32,4.28,4.98
February,,,,,,,,1.65,0.07,1.92,1.79,0.63,1.6,0.92,1.61,1.48,,0.97,0.59,4.01,2.52,0.51,1.12,2.14,1.08,0.59,2.41,3.31,0.09,1.54
March,,,,,,,,0.26,1.17,2.13,1.9,1.74,0.93,0.28,0.72,0.62,,0.95,1.56,1.03,4.04,2.28,1.03,2.06,2.12,0.73,2.28,1.33,2.05,0.81
April,,,,,,,,0.12,1.76,5.22,1.3,0.66,0.88,1.62,0.7,2.37,,2.28,2.13,2.03,2.78,2.01,1.88,0.58,1.39,0.96,0.15,0.64,2.98,0.96
May,,,,,,,,2.14,0.82,2.08,1.9,3.03,2.79,0.55,2.34,2.43,,2.84,3.18,1.35,3.65,2.61,1.51,1.76,4.09,0.57,1.41,2.9,1.07,1.49
June,,,,,,,,1.01,1.49,0.51,1.14,0.03,1.79,2.19,3.39,2.62,,3.12,0.39,2.37,1.16,1.77,1.39,3.13,2.85,2.46,1.62,3.81,0.46,3.04
July,,,,,,,,2.52,4.95,1.91,3.22,1.33,1.03,2.81,1.73,2.32,,1.79,2.09,2.62,1.31,0.3,3.87,3.53,0.26,2.18,3.47,3.38,1.11,3.42
August,,,,,,,,2.08,1.89,0.3,3.61,3.19,1.4,2.67,1.87,4.81,,3.12,1.12,3.93,4.66,5.06,3.45,4.17,0.35,5.08,4.72,2.89,1.22,4.28
September,,,,,,,,1.29,0.85,1.98,0.69,0.89,1.41,2.32,1.61,2.88,,3.03,1.27,3.44,1.88,1.19,2.41,2.05,0.86,2.54,3.53,4.26,0.11,4.45
October,,,,,,,,2.42,3,5.35,3.07,1.89,2.27,2.98,3.51,0.36,,2.66,4.94,0.69,1.02,4.7,1.8,2.92,1.34,1.61,1.19,2.76,2.45,4.53
November,,,,,,,,2.24,3.58,6.42,2.32,1.59,1.49,4.16,0.45,5.09,,1.6,2.23,3.66,6.95,2.39,1.2,4.38,1.9,0.66,1.95,2.58,2.3,3.53
December,,,,,,,,3.02,2.67,2.29,1.14,2.86,0.79,1.26,3,1.81,,2.95,1.46,0.66,1.75,2.42,0.8,1.63,2.12,3.01,1.58,2.93,3.86,2.77
Total,,,,,,,,21.67,29.07,33.62,24.82,20.95,20.67,23.75,22.07,28.41,,29.18,22.22,26.22,34.14,26.79,21.3,29.3,20.97,23.44,25.64,33.11,21.98,35.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,ALCESTER COUNCIL OFFICE ,01/01/1938,31/12/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,
