"LANGHOLM, BURNFOOT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY390964,Long,-2.961293,Lat,55.257978,Elevation,541,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,5.7,8.2,9.7,5.07,6.25,5.3,2.94,3.19,8.47,4.17,3.68,2.23,7.36,3.22,3.54,1.8,3.44,10.1,6.43,2.77,4.45,8.92,5.59,2.73,6.46,2.39,6.25,5.32,4.83,3.01,4.5,5.35,4.15,3.12,7.84,2.75,3.65,,,
February,,,7.6,6.6,7,9.7,2.17,3.32,1.13,2.93,0.85,0.75,2.53,7.65,12.2,0.87,3.18,4.62,5.6,4.64,4.88,1.9,2.03,6.89,3.84,3.16,3.5,3.23,3.08,2.05,6.6,6.58,3.45,3.8,6.79,9.27,4.29,0.9,4.83,,,
March,,,5.2,3.2,5.47,4.4,5.63,2.51,3.23,4.35,4.6,4.5,2.08,2.44,3.86,4.91,6.47,7.4,2.52,5.08,0.55,3.15,3.18,11.15,5.33,6.15,3.85,5.05,5.97,4.76,3.81,2.87,6.34,6.31,5.69,2.06,2.46,1.95,1.45,,,
April,,,5.3,3.3,2.35,3.7,2.91,4,2.7,2.84,1.52,2.43,1.23,0.8,1.88,3.41,2.48,3.58,5.57,5.65,3.87,3.42,2.75,2.1,5.31,4.24,1.96,2.54,2.11,4.92,3.95,5.23,0.85,5.94,3,2.9,3.97,2.3,0.8,,,
May,,,3,2.7,4.78,3.74,4.67,1.3,3.6,2.6,2.58,2.65,6.14,2.5,5.4,0.79,0.79,2.78,3.49,3.94,3.98,2.86,2.33,2.84,3.97,3.1,8.65,5.59,3.71,2.69,2.93,3.41,1.83,3.68,2.56,1.75,4.61,3.49,2.45,,,
June,,,6.6,3.5,1.29,1.37,1.58,0.84,2.92,1.5,5.35,1.91,4.17,2.57,4.1,1.47,4.18,3.83,2.64,1.45,6.16,3.89,1.61,1.71,2.92,2.18,1.95,7.62,3.57,1.95,1.76,3.57,5.24,3.23,1.52,2.7,3.05,2.51,1.19,,,
July,,,9.1,5.7,8,2.73,6.36,6.08,5.82,5.42,5.1,3.47,3.48,3.14,2.92,6.99,5,2.89,0.8,4.74,3.57,1.42,3.73,5.38,5.52,2.23,2.89,3.99,3.44,3.87,6.29,1.72,3.94,1.2,2.91,5.05,5.49,1.87,3.71,,,
August,,,3.5,6.1,1.5,3,3.98,2.57,4.85,4.56,3.9,12,7.26,3.64,4.92,6.8,2.6,9.03,6.3,1.48,5.72,5.34,4.56,8.15,4.36,5.89,8.24,6,5.92,3.22,7.22,3.58,5.74,1.71,3.59,3.52,4.85,8.88,3.32,,,
September,,,3.2,6.3,5,6.99,8.31,6.71,1.25,2.45,4.54,8.18,7.1,3.17,0.78,2.39,8.26,4.15,2.6,4.78,4.75,3.48,2.72,5.02,3.11,4.24,1.58,1.08,5.01,2.48,0.82,2.56,2.08,2.05,1.8,1.4,1.24,2.83,7.25,,,
October,,,4.2,7.2,2.67,5.78,6.25,2.5,6.86,8.37,4.57,6.18,5.17,4.88,4.58,5.25,6.2,2.9,6,4.63,5.89,5.41,3.98,11.09,2.74,3.42,8.82,7.25,2.9,9.68,2.87,4.5,6.3,5.07,1.25,2.03,9.79,8.82,6.94,,,
November,,,6.7,6.9,2.95,3.6,6.52,6.5,10.07,1.71,9.3,6,4.81,2.5,6.79,7.04,2.02,6.2,6.2,9.78,5.9,5.21,3.67,3.77,2.25,5.3,5.56,3.75,3.49,2.25,4.62,6.31,4.44,6.31,7.92,3.37,6.97,5.7,3.1,,,
December,,,4.9,5.1,5.2,2.84,5.74,6,6.47,5.62,1.44,10.21,2.5,9.77,7.4,4.69,8.83,9.9,10.5,2.88,10.47,6.5,7.35,4.23,4.23,3.49,3.12,7.7,3.21,6.13,5.57,8.74,8.17,3.7,8.25,7.27,4.43,3.52,4.78,,,
Total,,,65,64.8,55.91,52.92,60.37,47.63,51.84,45.54,52.22,62.45,50.15,45.29,62.19,47.83,53.55,59.08,55.66,59.15,62.17,45.35,42.36,71.25,49.17,46.13,56.58,56.19,48.66,49.32,51.27,52.08,52.88,48.35,49.43,44.44,58.99,45.52,43.47,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Burnfoot as shown on OS maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 readings were taken form EWES SCHOOL and have been deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
